"codgeo","year0","value0","year1","value1"
"0050",2012,36.2,2014,38.6
"0051",2012,37.7,2014,40.4
"0052",2012,43.6,2014,45.9
"0053",2012,33,2014,34.9
"0054",2012,38.1,2014,41.1
"0055",2012,37.3,2014,40.0
"0056",2012,27.7,2014,29.3
"0057",2012,38.5,2014,40.4
"0059",2012,33.6,2014,35.8
"0060",2012,34.8,2014,36.9
"0061",2012,26.7,2014,28.2
"0201",2012,,2014,32.9
"0202",2012,,2014,31.6
"0203",2012,,2014,35.8
"0204",2012,,2014,37.5
"0205",2012,,2014,36.6
"0206",2012,,2014,44.2
"0401",2012,,2014,34.0
"0402",2012,,2014,28.3
"0403",2012,,2014,28.3
"0404",2012,,2014,34.4
"1101",2012,22.8,2014,24.0
"1102",2012,21,2014,22.5
"1103",2012,28.8,2014,30.5
"1104",2012,26.3,2014,27.8
"1105",2012,27.3,2014,29.1
"1106",2012,34.2,2014,36.3
"1107",2012,32,2014,34.1
"1108",2012,31.7,2014,33.9
"1109",2012,24.8,2014,27.0
"1110",2012,28.7,2014,30.6
"1111",2012,25.7,2014,27.3
"1112",2012,27.5,2014,29.8
"1113",2012,23.8,2014,25.4
"1114",2012,28.7,2014,30.6
"1115",2012,26.6,2014,28.2
"1116",2012,25.7,2014,27.2
"1117",2012,26.7,2014,28.3
"1118",2012,27,2014,28.2
"1119",2012,24.1,2014,25.7
"2101",2012,35.9,2014,38.3
"2102",2012,33.9,2014,36.2
"2103",2012,31.7,2014,34.0
"2104",2012,28.7,2014,30.7
"2105",2012,30.2,2014,32.3
"2106",2012,36.7,2014,39.4
"2107",2012,37.2,2014,40.3
"2201",2012,30.9,2014,32.6
"2202",2012,38.4,2014,40.6
"2203",2012,38.6,2014,40.6
"2204",2012,33.2,2014,35.6
"2205",2012,36.6,2014,38.6
"2206",2012,34.6,2014,37.0
"2207",2012,29.7,2014,31.8
"2208",2012,29.9,2014,31.7
"2209",2012,36.3,2014,39.0
"2210",2012,32.1,2014,34.1
"2211",2012,35.1,2014,37.1
"2301",2012,36.2,2014,38.7
"2302",2012,31.5,2014,33.7
"2303",2012,32.2,2014,34.3
"2304",2012,30.5,2014,32.6
"2305",2012,35.5,2014,37.9
"2306",2012,33.6,2014,35.7
"2307",2012,32.1,2014,34.1
"2401",2012,36,2014,38.4
"2402",2012,45.3,2014,48.1
"2403",2012,42.1,2014,44.6
"2404",2012,30,2014,32.2
"2405",2012,38.7,2014,41.8
"2406",2012,31,2014,33.3
"2407",2012,44.1,2014,47.1
"2408",2012,36.8,2014,38.9
"2409",2012,39.3,2014,41.7
"2410",2012,36.1,2014,38.9
"2411",2012,39.3,2014,42.3
"2412",2012,33.2,2014,35.1
"2413",2012,35.3,2014,37.5
"2414",2012,42.8,2014,45.5
"2415",2012,36.6,2014,38.8
"2416",2012,37.6,2014,39.9
"2417",2012,37.7,2014,39.9
"2418",2012,30.7,2014,32.7
"2419",2012,30.8,2014,32.6
"2501",2012,37.4,2014,40.0
"2502",2012,32.6,2014,34.9
"2503",2012,37.6,2014,40.8
"2504",2012,36.8,2014,39.4
"2505",2012,35.7,2014,38.0
"2506",2012,36.2,2014,38.3
"2507",2012,34.8,2014,36.8
"2508",2012,39.3,2014,42.0
"2509",2012,43.1,2014,45.9
"2510",2012,34,2014,36.4
"2511",2012,38.1,2014,40.7
"2512",2012,37.3,2014,40.1
"2513",2012,38.9,2014,41.5
"2601",2012,30.2,2014,32.1
"2602",2012,39.8,2014,42.4
"2603",2012,32.1,2014,34.2
"2604",2012,36.8,2014,39.7
"2605",2012,50.7,2014,53.5
"2606",2012,41.2,2014,43.4
"2607",2012,40.8,2014,43.5
"2608",2012,34.9,2014,36.9
"2609",2012,40.2,2014,42.6
"2610",2012,41.6,2014,43.5
"2611",2012,39.5,2014,42.0
"2612",2012,38,2014,40.6
"2613",2012,39.7,2014,42.6
"2614",2012,35.7,2014,37.8
"3110",2012,31.1,2014,33.3
"3111",2012,27.9,2014,29.6
"3112",2012,33.6,2014,35.9
"3113",2012,29.3,2014,31.5
"3114",2012,34.7,2014,36.7
"3115",2012,35.2,2014,37.2
"3116",2012,34.5,2014,36.6
"3117",2012,36.7,2014,38.9
"3121",2012,31.7,2014,33.6
"3122",2012,37.9,2014,39.5
"3123",2012,34.4,2014,36.2
"3124",2012,32.5,2014,34.8
"3125",2012,33.3,2014,35.3
"3126",2012,35.3,2014,37.8
"3127",2012,37.4,2014,40.3
"4101",2012,27,2014,26.8
"4102",2012,36.4,2014,39.0
"4103",2012,32.1,2014,34.3
"4104",2012,35.6,2014,38.5
"4105",2012,34.4,2014,37.2
"4106",2012,35.2,2014,37.3
"4107",2012,30.3,2014,31.8
"4108",2012,37.2,2014,39.3
"4109",2012,32.9,2014,35.0
"4110",2012,30.7,2014,32.7
"4111",2012,26.9,2014,26.8
"4112",2012,34.6,2014,37.1
"4113",2012,36.2,2014,39.2
"4114",2012,37.7,2014,40.4
"4115",2012,36.4,2014,39.4
"4201",2012,27.1,2014,29.0
"4202",2012,27.7,2014,29.7
"4203",2012,30,2014,32.0
"4204",2012,27.5,2014,29.6
"4205",2012,29.6,2014,31.5
"4206",2012,21.6,2014,23.5
"4207",2012,29.6,2014,31.9
"4208",2012,30.7,2014,32.9
"4209",2012,22.5,2014,24.2
"4301",2012,31.1,2014,33.6
"4302",2012,34.3,2014,36.5
"4303",2012,18.1,2014,19.3
"4304",2012,21.4,2014,22.2
"4305",2012,37.4,2014,39.7
"4306",2012,37,2014,39.1
"4307",2012,27.5,2014,29.1
"4308",2012,37.9,2014,40.7
"4309",2012,36.6,2014,39.6
"5201",2012,29.2,2014,31.4
"5202",2012,33.8,2014,36.2
"5203",2012,27.7,2014,29.2
"5204",2012,37.6,2014,40.2
"5205",2012,31.7,2014,34.0
"5206",2012,29.8,2014,32.0
"5207",2012,37,2014,39.3
"5208",2012,32.9,2014,35.1
"5209",2012,32.1,2014,34.1
"5210",2012,33.1,2014,35.5
"5211",2012,35,2014,37.4
"5212",2012,39.6,2014,42.2
"5213",2012,34.8,2014,36.9
"5214",2012,31.4,2014,33.6
"5215",2012,42.1,2014,45.5
"5216",2012,36.3,2014,38.7
"5217",2012,27,2014,29.0
"5218",2012,32.7,2014,35.3
"5219",2012,47.2,2014,51.2
"5301",2012,38.8,2014,41.4
"5302",2012,39.3,2014,41.4
"5303",2012,42.7,2014,45.7
"5304",2012,35.6,2014,37.9
"5305",2012,37.3,2014,39.7
"5306",2012,33.7,2014,36.1
"5307",2012,42.1,2014,44.8
"5308",2012,38.5,2014,41.4
"5309",2012,38.6,2014,41.0
"5310",2012,33.8,2014,35.8
"5311",2012,35.4,2014,38.2
"5312",2012,27.4,2014,29.2
"5313",2012,38.5,2014,40.9
"5314",2012,25.2,2014,27.1
"5315",2012,37.4,2014,39.8
"5316",2012,34.6,2014,36.8
"5317",2012,33.7,2014,36.0
"5318",2012,37.3,2014,40.1
"5401",2012,36.2,2014,38.9
"5402",2012,37.2,2014,39.8
"5403",2012,37.2,2014,39.4
"5404",2012,38.5,2014,40.4
"5405",2012,34.5,2014,36.4
"5406",2012,38.7,2014,41.2
"5407",2012,49,2014,51.8
"5408",2012,41.7,2014,44.4
"5409",2012,36.7,2014,39.2
"5410",2012,33.2,2014,35.0
"5411",2012,36.3,2014,38.9
"5412",2012,31.2,2014,33.6
"5413",2012,32.9,2014,35.1
"7201",2012,42.2,2014,44.8
"7202",2012,40.7,2014,42.7
"7203",2012,42.1,2014,44.7
"7204",2012,29.9,2014,31.4
"7205",2012,36.4,2014,38.7
"7206",2012,40.4,2014,42.3
"7207",2012,40,2014,42.2
"7208",2012,38.1,2014,40.5
"7209",2012,34.7,2014,36.7
"7210",2012,39.2,2014,41.8
"7211",2012,42,2014,44.6
"7212",2012,35.3,2014,37.4
"7213",2012,38.3,2014,39.9
"7214",2012,34.5,2014,36.4
"7301",2012,39.2,2014,41.3
"7302",2012,44.3,2014,46.9
"7303",2012,37.8,2014,40.5
"7304",2012,35,2014,36.9
"7305",2012,40.5,2014,42.9
"7306",2012,42.4,2014,44.7
"7307",2012,37.6,2014,40.5
"7308",2012,42,2014,44.7
"7309",2012,40.5,2014,41.8
"7310",2012,38.9,2014,41.1
"7311",2012,38.8,2014,41.0
"7312",2012,38.2,2014,40.4
