"codgeo","year0","value0","year1","value1"
"0050",2012,19162,2014,19699
"0051",2012,18501,2014,19126
"0052",2012,18685,2014,19454
"0053",2012,19826,2014,20574
"0054",2012,18881,2014,19513
"0055",2012,17943,2014,18657
"0056",2012,19299,2014,19704
"0057",2012,18874,2014,19539
"0059",2012,18199,2014,18719
"0060",2012,18921,2014,19563
"0061",2012,21260,2014,21748
"0101",2012,,2014,
"0102",2012,,2014,
"0103",2012,,2014,
"0106",2012,,2014,
"0201",2012,,2014,17250
"0202",2012,,2014,17247
"0203",2012,,2014,14972
"0204",2012,,2014,14613
"0205",2012,,2014,15617
"0206",2012,,2014,13369
"0301",2012,,2014,
"0302",2012,,2014,
"0303",2012,,2014,
"0401",2012,,2014,12522
"0402",2012,,2014,15484
"0403",2012,,2014,14345
"0404",2012,,2014,13134
"0601",2012,,2014,
"1101",2012,23145,2014,23464
"1102",2012,22224,2014,22729
"1103",2012,20637,2014,21088
"1104",2012,20402,2014,20901
"1105",2012,21783,2014,22274
"1106",2012,18304,2014,18918
"1107",2012,20039,2014,20407
"1108",2012,19493,2014,19937
"1109",2012,28157,2014,28660
"1110",2012,20295,2014,20640
"1111",2012,22491,2014,22812
"1112",2012,25997,2014,26504
"1113",2012,25302,2014,25640
"1114",2012,21184,2014,21612
"1115",2012,20586,2014,20954
"1116",2012,25450,2014,25742
"1117",2012,22279,2014,22665
"1118",2012,19040,2014,19307
"1119",2012,22059,2014,22519
"2101",2012,17416,2014,18134
"2102",2012,18721,2014,19275
"2103",2012,19555,2014,20204
"2104",2012,20353,2014,20893
"2105",2012,19631,2014,20158
"2106",2012,18689,2014,19445
"2107",2012,17677,2014,18309
"2201",2012,19210,2014,19791
"2202",2012,17090,2014,17820
"2203",2012,16259,2014,17014
"2204",2012,17988,2014,18675
"2205",2012,17321,2014,18056
"2206",2012,18163,2014,18851
"2207",2012,19732,2014,20285
"2208",2012,19973,2014,20690
"2209",2012,17625,2014,18402
"2210",2012,18778,2014,19448
"2211",2012,17420,2014,18159
"2301",2012,18979,2014,19609
"2302",2012,19920,2014,20419
"2303",2012,18947,2014,19705
"2304",2012,20012,2014,20639
"2305",2012,18633,2014,19349
"2306",2012,19223,2014,19938
"2307",2012,19716,2014,20349
"2401",2012,19496,2014,20117
"2402",2012,17587,2014,18264
"2403",2012,18039,2014,18669
"2404",2012,20862,2014,21387
"2405",2012,19088,2014,19618
"2406",2012,19682,2014,20246
"2407",2012,17765,2014,18244
"2408",2012,18813,2014,19591
"2409",2012,18461,2014,19134
"2410",2012,19341,2014,20286
"2411",2012,18504,2014,19170
"2412",2012,20075,2014,20669
"2413",2012,19886,2014,20427
"2414",2012,18549,2014,19112
"2415",2012,19298,2014,19929
"2416",2012,19160,2014,19763
"2417",2012,19013,2014,19522
"2418",2012,20852,2014,21314
"2419",2012,19697,2014,20135
"2501",2012,18833,2014,19617
"2502",2012,19840,2014,20447
"2503",2012,19357,2014,19949
"2504",2012,17890,2014,18669
"2505",2012,17836,2014,18620
"2506",2012,18373,2014,19247
"2507",2012,18855,2014,19789
"2508",2012,18192,2014,19076
"2509",2012,19105,2014,19897
"2510",2012,18837,2014,19621
"2511",2012,18072,2014,18835
"2512",2012,18060,2014,18797
"2513",2012,17990,2014,18534
"2601",2012,20356,2014,21107
"2602",2012,18218,2014,18927
"2603",2012,20720,2014,21264
"2604",2012,18828,2014,19446
"2605",2012,17496,2014,18232
"2606",2012,18618,2014,19419
"2607",2012,18150,2014,18717
"2608",2012,19290,2014,20024
"2609",2012,18376,2014,19020
"2610",2012,18124,2014,18997
"2611",2012,18232,2014,19093
"2612",2012,19023,2014,19582
"2613",2012,18402,2014,19055
"2614",2012,19353,2014,19970
"3110",2012,17632,2014,18171
"3111",2012,19872,2014,20499
"3112",2012,17910,2014,18786
"3113",2012,19371,2014,20029
"3114",2012,17412,2014,18153
"3115",2012,16528,2014,17162
"3116",2012,17494,2014,18125
"3117",2012,16523,2014,17253
"3121",2012,18959,2014,19750
"3122",2012,15848,2014,16471
"3123",2012,17325,2014,18070
"3124",2012,17319,2014,18081
"3125",2012,16943,2014,17777
"3126",2012,17054,2014,17784
"3127",2012,17861,2014,18528
"4101",2012,19057,2014,20397
"4102",2012,18167,2014,18924
"4103",2012,20100,2014,20734
"4104",2012,19254,2014,19915
"4105",2012,18178,2014,18900
"4106",2012,18416,2014,19180
"4107",2012,19765,2014,20611
"4108",2012,17936,2014,18671
"4109",2012,19220,2014,19884
"4110",2012,19699,2014,20456
"4111",2012,19976,2014,21490
"4112",2012,18562,2014,19240
"4113",2012,18533,2014,19207
"4114",2012,17932,2014,18625
"4115",2012,18514,2014,19304
"4201",2012,21662,2014,22259
"4202",2012,22121,2014,22678
"4203",2012,20695,2014,21249
"4204",2012,20997,2014,21554
"4205",2012,20637,2014,20940
"4206",2012,22284,2014,22998
"4207",2012,21402,2014,21892
"4208",2012,20531,2014,20988
"4209",2012,27116,2014,27578
"4301",2012,19867,2014,20475
"4302",2012,19038,2014,19689
"4303",2012,26342,2014,26900
"4304",2012,23223,2014,24219
"4305",2012,19167,2014,19840
"4306",2012,19092,2014,19880
"4307",2012,20652,2014,21501
"4308",2012,18128,2014,18743
"4309",2012,18185,2014,18845
"5201",2012,18882,2014,19668
"5202",2012,17666,2014,18286
"5203",2012,20616,2014,21241
"5204",2012,19845,2014,20508
"5205",2012,19443,2014,20094
"5206",2012,18906,2014,19605
"5207",2012,17965,2014,18666
"5208",2012,18107,2014,18734
"5209",2012,18952,2014,19704
"5210",2012,18636,2014,19332
"5211",2012,18973,2014,19557
"5212",2012,18179,2014,18824
"5213",2012,19305,2014,19967
"5214",2012,18363,2014,19099
"5215",2012,19147,2014,19787
"5216",2012,18103,2014,18877
"5217",2012,18984,2014,19686
"5218",2012,19186,2014,19814
"5219",2012,20042,2014,20713
"5301",2012,19939,2014,20655
"5302",2012,18221,2014,18960
"5303",2012,20016,2014,20691
"5304",2012,18642,2014,19282
"5305",2012,19581,2014,20233
"5306",2012,19916,2014,20649
"5307",2012,17941,2014,18671
"5308",2012,19373,2014,19992
"5309",2012,19634,2014,20378
"5310",2012,18645,2014,19284
"5311",2012,18720,2014,19397
"5312",2012,20578,2014,21144
"5313",2012,19381,2014,20159
"5314",2012,19439,2014,20248
"5315",2012,19573,2014,20304
"5316",2012,18751,2014,19417
"5317",2012,18940,2014,19701
"5318",2012,20075,2014,20740
"5401",2012,17908,2014,18523
"5402",2012,18705,2014,19349
"5403",2012,18580,2014,19280
"5404",2012,17407,2014,18222
"5405",2012,19328,2014,20055
"5406",2012,18512,2014,19128
"5407",2012,19218,2014,19904
"5408",2012,18673,2014,19379
"5409",2012,20270,2014,20856
"5410",2012,19489,2014,20238
"5411",2012,17890,2014,18621
"5412",2012,18078,2014,18834
"5413",2012,19447,2014,20043
"7201",2012,18009,2014,18697
"7202",2012,18425,2014,19159
"7203",2012,18107,2014,18659
"7204",2012,20667,2014,21250
"7205",2012,18035,2014,18711
"7206",2012,18451,2014,19101
"7207",2012,20321,2014,20948
"7208",2012,19536,2014,20100
"7209",2012,18869,2014,19481
"7210",2012,17738,2014,18362
"7211",2012,17410,2014,17988
"7212",2012,20165,2014,20684
