"codgeo","year1","value1"
"247400682","2018",34.4
"247400690","2018",42.32
"247400724","2018",34.59
"247400740","2018",25.24
"247400773","2018",36.68
"247600497","2018",36.68
"247600505","2018",42.64
"247600539","2018",53.5
"247600588","2018",27.92
"247600596","2018",40.28
"247600604","2018",24.67
"247600620","2018",36.37
"247600646","2018",25.52
"247600729","2018",27.38
"247600786","2018",29.35
"247700032","2018",43.33
"247700057","2018",30.51
"247700065","2018",48.55
"247700107","2018",23.75
"247700339","2018",46.04
"247700438","2018",29.64
"247700594","2018",25.42
"247700644","2018",25.44
"247700701","2018",32.03
"247800550","2018",25.93
"247800584","2018",16.08
"247800618","2018",30.86
"247900798","2018",44.77
"248000499","2018",43.64
"248000531","2018",58.53
"248000747","2018",37.74
"248100117","2018",
"248100158","2018",46.32
"248100430","2018",32.17
"248100497","2018",33.08
"248100737","2018",52.46
"248100745","2018",22.55
"248200016","2018",84.08
"248200057","2018",36.65
"248200065","2018",45.81
"248200099","2018",38.62
"248200107","2018",31.39
"248300394","2018",19.74
"248300410","2018",32.23
"248300493","2018",36.56
"248300543","2018",27.01
"248300550","2018",25.99
"248400053","2018",33.21
"248400160","2018",22.08
"248400236","2018",13.99
"248400251","2018",32.15
"248400285","2018",36.25
"248400293","2018",54.09
"248400319","2018",30.28
"248400335","2018",32.77
"248500191","2018",55
"248500258","2018",36.68
"248500340","2018",36.21
"248500415","2018",39.64
"248500464","2018",35.67
"248500530","2018",61.86
"248500563","2018",35.73
"248500589","2018",35.81
"248500621","2018",30.77
"248500662","2018",25.27
"248600413","2018",47.18
"248600447","2018",33.58
"248700189","2018",34.46
"248719262","2018",35.18
"248719288","2018",31.36
"248719312","2018",35.51
"248719338","2018",34.08
"248719353","2018",29.18
"248719361","2018",34.97
"248900334","2018",35.9
"248900383","2018",40.75
"248900524","2018",36.68
"248900664","2018",28.42
"248900748","2018",31.52
"248900896","2018",25.74
"248900938","2018",26.23
"249000241","2018",33.14
"249100074","2018",32.69
"249100157","2018",32.85
"249100546","2018",27.17
"249100553","2018",48.23
"249100595","2018",33.66
"249500109","2018",40.94
"249500430","2018",25.32
"249500455","2018",16.33
"249500489","2018",32.92
"249500513","2018",24.94
"249710047","2018",38.54
"249710062","2018",33.71
"249710070","2018",39.95
"249720053","2018",49.6
"249720061","2018",44.46
"249730037","2018",34.64
"249730045","2018",25.42
"249730052","2018",43.66
"249740077","2018",41.08
"249740085","2018",39.77
"249740093","2018",31.62
"249740101","2018",39.68
"249740119","2018",42.71
