"codgeo","year1","value1"
"200044469","2018",44.74
"200044618","2018",39.11
"200044691","2018",30.47
"200046977","2018",52.03
"200048551","2018",40.44
"200049187","2018",88
"200049211","2018",31.84
"200049484","2018",29.11
"200050532","2018",36.68
"200054781","2018",26.05
"200054807","2018",34.02
"200055481","2018",34.31
"200055655","2018",26.07
"200055887","2018",34.76
"200056232","2018",18.74
"200056380","2018",24.17
"200057859","2018",35.22
"200057958","2018",32.45
"200058360","2018",29.7
"200058477","2018",27.47
"200058485","2018",21.3
"200058519","2018",14.21
"200058782","2018",39.65
"200059228","2018",36.31
"200059392","2018",44.77
"200059400","2018",35.58
"200059871","2018",17.1
"200059889","2018",34.38
"200060010","2018",33.22
"200060457","2018",36.05
"200060465","2018",17.98
"200060473","2018",25.34
"200065563","2018",29.21
"200065589","2018",34.02
"200065597","2018",30.07
"200065647","2018",45.59
"200065787","2018",39.8
"200065886","2018",38.54
"200065894","2018",45.24
"200065928","2018",35.94
"200066009","2018",38.92
"200066017","2018",63.51
"200066025","2018",55.55
"200066033","2018",36.68
"200066041","2018",38.86
"200066058","2018",37.47
"200066108","2018",36.68
"200066116","2018",61.12
"200066124","2018",34.53
"200066132","2018",52.49
"200066140","2018",59.63
"200066157","2018",39.69
"200066165","2018",63.14
"200066173","2018",59.91
"200066223","2018",35.68
"200066231","2018",33.27
"200066280","2018",36.28
"200066322","2018",31.81
"200066330","2018",36.84
"200066348","2018",36.2
"200066355","2018",29.37
"200066363","2018",44.81
"200066371","2018",36.55
"200066389","2018",44.03
"200066405","2018",35.86
"200066413","2018",46.81
"200066462","2018",36.68
"200066512","2018",32.97
"200066520","2018",30.93
"200066553","2018",46.95
"200066561","2018",41.22
"200066587","2018",37.98
"200066603","2018",39.59
"200066637","2018",39.85
"200066645","2018",32.07
"200066652","2018",32.38
"200066660","2018",39.24
"200066678","2018",34.62
"200066710","2018",43.68
"200066728","2018",26.15
"200066744","2018",44.21
"200066751","2018",48.05
"200066769","2018",34.23
"200066777","2018",39.17
"200066785","2018",36.82
"200066793","2018",40.08
"200066801","2018",49.27
"200066819","2018",42.19
"200066827","2018",30.32
"200066835","2018",63.35
"200066850","2018",46.44
"200066868","2018",29.5
"200066876","2018",34.54
"200066884","2018",40.01
"200066892","2018",33.8
"200066918","2018",39.68
"200066926","2018",30.21
"200066975","2018",36.68
"200067023","2018",43.63
"200067031","2018",43.94
"200067049","2018",32.01
"200067064","2018",40.15
"200067072","2018",28.02
"200067080","2018",37.28
"200067106","2018",37.09
"200067114","2018",30.62
"200067122","2018",41.48
"200067130","2018",36.25
"200067155","2018",40.01
"200067163","2018",43.58
"200067171","2018",57.35
"200067189","2018",32.03
"200067197","2018",34.83
"200067205","2018",37.98
"200067213","2018",29.86
"200067221","2018",35.87
"200067239","2018",45.86
"200067247","2018",33.71
"200067254","2018",37.76
"200067262","2018",49.7
"200067288","2018",36.07
"200067296","2018",44.23
"200067304","2018",29.22
"200067320","2018",36.68
"200067346","2018",42.22
"200067361","2018",42.48
"200067379","2018",50.43
"200067429","2018",30.27
"200067437","2018",35.09
"200067445","2018",40.67
"200067452","2018",35.08
"200067460","2018",37.7
"200067478","2018",57.45
"200067486","2018",42.37
"200067502","2018",34.66
"200067510","2018",37.36
"200067544","2018",40.08
"200067551","2018",33.15
"200067593","2018",40.03
"200067627","2018",28.87
"200067635","2018",32.55
"200067643","2018",34.65
"200067650","2018",41.31
"200067668","2018",35.51
"200067676","2018",28.7
"200067684","2018",36.84
"200067692","2018",35.67
"200067700","2018",39.48
"200067742","2018",34.85
"200067759","2018",38.59
"200067767","2018",39.06
"200067783","2018",37.08
"200067791","2018",34.93
"200067817","2018",38.69
"200067825","2018",24.99
"200067841","2018",30.65
"200067866","2018",32.57
"200067874","2018",45.37
"200067882","2018",34.96
"200067890","2018",61.08
"200067908","2018",37.43
"200067916","2018",37.83
"200067924","2018",45.97
"200067932","2018",27.37
"200067940","2018",36.68
"200067957","2018",31.73
"200067965","2018",36.03
"200067973","2018",26.73
"200067981","2018",32.94
"200067999","2018",38.07
"200068005","2018",45.42
"200068047","2018",43.84
"200068070","2018",36.68
"200068088","2018",31.88
"200068096","2018",36.52
"200068104","2018",32.41
"200068112","2018",44.44
"200068120","2018",36.33
"200068146","2018",37.19
"200068229","2018",31.71
"200068278","2018",30.17
"200068294","2018",35.01
"200068369","2018",32.7
"200068377","2018",44.18
"200068435","2018",36.68
"200068443","2018",47.94
"200068450","2018",46.78
"200068468","2018",43.5
"200068484","2018",36.68
"200068500","2018",35.77
"200068534","2018",34.42
"200068542","2018",35.33
"200068559","2018",38.1
"200068567","2018",42.32
"200068625","2018",36.68
"200068641","2018",34.97
"200068658","2018",28.42
"200068666","2018",39.53
"200068674","2018",35.95
"200068682","2018",17.63
"200068757","2018",42.96
"200068765","2018",37.83
"200068773","2018",52.7
"200068781","2018",37.37
"200068799","2018",28.47
"200068807","2018",30.48
"200068815","2018",33.74
"200068831","2018",36.31
"200068856","2018",49.91
"200068864","2018",42.08
"200068872","2018",39.17
"200068880","2018",26.13
"200068914","2018",41.97
"200068922","2018",39.15
"200068930","2018",34.93
"200068948","2018",44.09
"200068955","2018",33.75
"200068963","2018",34.36
"200068989","2018",38.02
"200068997","2018",49.42
"200069003","2018",23.84
"200069029","2018",32.66
"200069037","2018",42.15
"200069052","2018",44.36
"200069060","2018",45.43
"200069086","2018",31.56
"200069094","2018",32.28
"200069102","2018",46.24
"200069110","2018",38.36
"200069128","2018",28.02
"200069136","2018",36.68
"200069144","2018",34.69
"200069151","2018",34.89
"200069169","2018",26.55
"200069177","2018",33.97
"200069185","2018",32.74
"200069193","2018",37.41
"200069227","2018",15.91
"200069235","2018",43.65
"200069250","2018",37.04
"200069268","2018",44.54
"200069300","2018",33.14
"200069383","2018",38.03
"200069391","2018",33.54
"200069409","2018",32.55
"200069417","2018",41.44
"200069425","2018",39.36
"200069433","2018",37.37
"200069441","2018",36.68
"200069458","2018",56.5
"200069482","2018",37.6
"200069516","2018",58.77
"200069524","2018",34.91
"200069532","2018",35.82
"200069540","2018",26.12
"200069565","2018",49.88
"200069581","2018",36.96
"200069599","2018",36.44
"200069615","2018",31.56
"200069623","2018",30.18
"200069631","2018",32.93
"200069649","2018",38.2
"200069656","2018",42.54
"200069664","2018",47.58
"200069672","2018",43.93
"200069698","2018",31.68
"200069722","2018",18.79
"200069730","2018",12.24
"200069748","2018",37.09
"200069755","2018",48.04
"200069763","2018",35.64
"200069821","2018",28.24
"200069839","2018",75.35
"200069847","2018",26.95
"200069854","2018",27.01
"200069912","2018",42.6
"200069953","2018",39.74
"200069961","2018",33.96
"200069995","2018",29.49
"200070035","2018",38.95
"200070043","2018",59.3
"200070068","2018",31.21
"200070092","2018",32.74
"200070100","2018",35.98
"200070118","2018",30.41
"200070126","2018",38.06
"200070142","2018",31.45
"200070159","2018",42.09
"200070167","2018",34.8
"200070183","2018",32.56
"200070233","2018",42.64
"200070282","2018",33.85
"200070290","2018",24.99
"200070308","2018",35.05
"200070316","2018",27.42
"200070324","2018",35.3
"200070332","2018",43.46
"200070340","2018",50.09
"200070365","2018",36.13
"200070373","2018",36.42
"200070407","2018",37.94
"200070431","2018",40.81
"200070449","2018",31.99
"200070464","2018",42.22
"200070506","2018",33.28
"200070514","2018",40.15
"200070530","2018",39.5
"200070548","2018",53.02
"200070555","2018",39.76
"200070563","2018",39.59
"200070571","2018",29.74
"200070589","2018",45.81
"200070647","2018",30.25
"200070662","2018",30.26
"200070670","2018",34.54
"200070688","2018",43.69
"200070712","2018",37.73
"200070720","2018",23.52
"200070738","2018",37.02
"200070746","2018",42.87
"200070753","2018",34.66
"200070761","2018",37.08
"200070779","2018",32.07
"200070787","2018",34.81
"200070795","2018",70.8
"200070803","2018",54.01
"200070811","2018",46.44
"200070829","2018",43.97
"200070845","2018",38.91
"200070852","2018",30.95
"200070894","2018",38.59
"200070902","2018",36.68
"200070910","2018",36.68
"200070928","2018",63.72
"200070936","2018",37.95
"200070944","2018",40.99
"200070951","2018",41.16
"200070969","2018",47.47
"200070977","2018",27.45
"200070985","2018",43.92
"200070993","2018",37.37
"200071017","2018",36.42
"200071025","2018",37.97
"200071033","2018",40.35
"200071041","2018",32.01
"200071058","2018",25.6
"200071066","2018",32.15
"200071074","2018",33.3
"200071082","2018",40.19
"200071116","2018",39.77
"200071140","2018",37.91
"200071157","2018",22.18
"200071165","2018",33.22
"200071173","2018",54.02
"200071181","2018",66.75
"200071199","2018",30.98
"200071207","2018",41.6
"200071215","2018",21.89
"200071223","2018",24.18
"200071298","2018",33.81
"200071314","2018",30.41
"200071363","2018",37.86
"200071371","2018",41.55
"200071389","2018",43.47
"200071405","2018",44.22
"200071413","2018",45.5
"200071454","2018",42.23
"200071470","2018",38.74
"200071496","2018",36.68
"200071504","2018",45.79
"200071512","2018",31.63
"200071520","2018",49.29
"200071538","2018",36.68
"200071546","2018",42.7
"200071553","2018",33.47
"200071579","2018",30.14
"200071587","2018",36.55
"200071595","2018",32.35
"200071629","2018",36.09
"200071645","2018",41.07
"200071652","2018",58.42
"200071678","2018",36.37
"200071751","2018",35.97
"200071769","2018",36.27
"200071777","2018",31.71
"200071785","2018",39.57
"200071819","2018",33.95
"200071827","2018",36.27
"200071843","2018",33.9
"200071850","2018",37.84
"200071868","2018",32.4
"200071876","2018",34.07
"200071884","2018",50.29
"200071892","2018",40.27
"200071900","2018",32.57
"200071918","2018",43.48
"200071926","2018",34.19
"200071934","2018",38.09
"200071942","2018",32.84
"200071967","2018",30.43
"200071983","2018",36.15
"200071991","2018",37.77
"200072007","2018",46.29
"200072015","2018",39.86
"200072023","2018",36.54
"200072031","2018",38.37
"200072049","2018",30.58
"200072056","2018",41.22
"200072064","2018",35.66
"200072072","2018",30.78
"200072080","2018",24.33
"200072098","2018",41.42
"200072106","2018",44.81
"200072130","2018",34.44
"200072304","2018",43.08
"200072312","2018",36.7
"200072320","2018",33.64
"200072346","2018",25.72
"200072452","2018",36.57
"200072460","2018",40.76
"200072478","2018",36.26
"200072544","2018",39.74
"200072635","2018",43.46
"200072643","2018",40.34
"200072650","2018",32.84
"200072668","2018",38.43
"200072676","2018",32.44
"200072684","2018",36.68
"200072692","2018",34.36
"200072700","2018",37.15
"200072718","2018",31.99
"200072726","2018",40.52
"200072734","2018",42.46
"200072825","2018",38.88
"200072874","2018",33.78
"200072882","2018",37.01
"200072981","2018",32.05
"200072999","2018",47.01
"200073013","2018",24.04
"200073096","2018",35.79
"200073104","2018",40.96
"200073112","2018",31.1
"200073120","2018",40.76
"200073138","2018",33.56
"200073146","2018",37.2
"200073161","2018",30.53
"200073237","2018",28.37
"200073245","2018",44.43
"200073252","2018",38.61
"200073260","2018",38.38
"200073344","2018",28.26
"200073393","2018",41.62
"200073401","2018",33.23
"200073419","2018",34.86
"200073427","2018",44.32
"200077014","2018",43.07
"200077055","2018",34.28
"240100578","2018",49.06
"240100610","2018",41.92
"240100750","2018",31.52
"240100800","2018",38.19
"240100883","2018",33.73
"240100891","2018",37.11
"240200444","2018",30.39
"240200469","2018",38.46
"240200477","2018",39.68
"240200493","2018",25.98
"240200501","2018",31.64
"240200519","2018",35.84
"240200576","2018",33.15
"240200584","2018",31.56
"240200592","2018",32.22
"240200600","2018",29.46
"240200634","2018",42.81
"240300491","2018",56.34
"240300558","2018",51.93
"240300566","2018",30.24
"240300657","2018",30.91
"240400440","2018",30.99
"240500082","2018",
"240500439","2018",32.83
"240500462","2018",41.54
"240600551","2018",25.99
"240600585","2018",24.02
"240600593","2018",34.23
"240700302","2018",42.46
"240700617","2018",37.92
"240700716","2018",16.89
"240700815","2018",39.44
"240700864","2018",34.5
"240800821","2018",68.99
"240800847","2018",31.8
"240800862","2018",41.82
"240800920","2018",39.18
"240900431","2018",37.51
"240900464","2018",33.15
"241000223","2018",46.92
"241000405","2018",32.93
"241000447","2018",35.53
"241000488","2018",26.85
"241100593","2018",32.81
"241200187","2018",49.49
"241200401","2018",
"241200542","2018",47.01
"241200567","2018",32.14
"241200625","2018",73.07
"241200641","2018",46.29
"241200658","2018",38.1
"241200674","2018",49.15
"241200765","2018",53.78
"241200807","2018",50.74
"241200906","2018",44.69
"241200914","2018",36.68
"241300375","2018",29.76
"241300417","2018",25.37
"241400415","2018",32.33
"241400514","2018",40.25
"241400555","2018",45.46
"241400860","2018",39.01
"241400878","2018",51.23
"241500230","2018",42.15
"241500255","2018",32.03
"241500271","2018",26
"241501055","2018",43.53
"241501089","2018",35.12
"241501139","2018",30.93
"241600303","2018",40.65
"241700434","2018",44.34
"241700459","2018",44.38
"241700517","2018",36.31
"241700624","2018",45.66
"241700632","2018",40.04
"241700640","2018",35.13
"241700699","2018",34.29
"241800325","2018",37.67
"241800374","2018",54.82
"241800424","2018",43.29
"241800432","2018",30.13
"241800457","2018",29.28
"241800507","2018",32.47
"241900133","2018",34.1
"241927201","2018",37.32
"241927243","2018",36.68
"242000354","2018",45.46
"242000495","2018",38.31
"242000503","2018",61.22
"242010056","2018",37.55
"242010130","2018",44.5
"242020071","2018",37
"242020105","2018",42.33
"242100154","2018",32.8
"242100410","2018",33.84
"242101434","2018",38.85
"242101442","2018",31.2
"242101459","2018",36.68
"242101491","2018",25.9
"242101509","2018",41.92
"242200715","2018",51.13
"242311603","2018",
"242400752","2018",45.36
"242400935","2018",41.96
"242401024","2018",46.46
"242500320","2018",35.99
"242500338","2018",32.76
"242500361","2018",44.2
"242504116","2018",38.88
"242504181","2018",36.46
"242504355","2018",34.43
"242504371","2018",37.27
"242504447","2018",59.62
"242504488","2018",36.68
"242504496","2018",55.74
"242600252","2018",39.11
"242600492","2018",32.29
"242600534","2018",35.62
"242700276","2018",66.68
"242700607","2018",42.93
"242700623","2018",40.83
"242852465","2018",34.38
"242900074","2018",30.92
"242900314","2018",55.74
"242900553","2018",30.4
"242900561","2018",29.8
"242900629","2018",34.68
"242900645","2018",32.16
"242900660","2018",34.72
"242900694","2018",34.59
"242900702","2018",31.03
"242900710","2018",40.37
"242900744","2018",40.33
"242900751","2018",27.66
"242900769","2018",27.99
"242900793","2018",35.57
"242900801","2018",35.6
"242900835","2018",36.08
"243000270","2018",45.69
"243000296","2018",56.57
"243000569","2018",42.41
"243000585","2018",36.1
"243000593","2018",35.22
"243000643","2018",28.27
"243000650","2018",35.93
"243000684","2018",28.2
"243100427","2018",
"243100518","2018",43.41
"243100567","2018",31
"243100633","2018",52.31
"243100732","2018",43.81
"243100773","2018",35.93
"243100781","2018",32.24
"243100815","2018",30.73
"243200391","2018",27.93
"243200409","2018",35.36
"243200417","2018",45.21
"243200425","2018",36.18
"243200458","2018",34.21
"243200508","2018",55.95
"243200599","2018",63.62
"243200607","2018",9.54
"243300316","2018",53.69
"243300563","2018",34.23
"243300811","2018",54.21
"243301165","2018",21.3
"243301181","2018",39.29
"243301215","2018",32.88
"243301223","2018",39.61
"243301249","2018",32.37
"243301264","2018",36.41
"243301355","2018",35.38
"243301371","2018",39.02
"243301389","2018",35.26
"243301397","2018",36.06
"243301405","2018",40.59
"243301439","2018",36.43
"243301447","2018",39.25
"243301454","2018",34.83
"243301504","2018",34.66
"243400017","2018",52.8
"243400355","2018",46.9
"243400470","2018",37.45
"243400488","2018",36.25
"243400520","2018",31.99
"243400694","2018",42.17
"243400736","2018",57.45
"243400769","2018",36.27
"243400819","2018",35.97
"243500139","2018",48.89
"243500550","2018",35.81
"243500618","2018",39.83
"243500634","2018",35.67
"243500659","2018",46.17
"243500667","2018",37.51
"243500725","2018",19.76
"243500733","2018",44.91
"243500741","2018",34.66
"243500774","2018",38.89
"243500782","2018",23.85
"243600202","2018",47.34
"243600236","2018",58.74
"243600293","2018",28.14
"243600301","2018",35.08
"243600319","2018",45.74
"243600327","2018",33.44
"243600343","2018",48.6
"243600350","2018",30.35
"243700499","2018",31.51
"243700754","2018",28.68
"243700820","2018",30.82
"243800158","2018",
"243800604","2018",47.31
"243800745","2018",23.27
"243800778","2018",38.59
"243800844","2018",42.09
"243800935","2018",21.08
"243800984","2018",40.7
"243801024","2018",26.95
"243801073","2018",38.72
"243801255","2018",33.53
"243900354","2018",44.67
"243900412","2018",51.97
"243900420","2018",55.96
"243900479","2018",61.38
"243900560","2018",59.1
"243900610","2018",46.65
"243900719","2018",43.8
"243901071","2018",41.12
"243901089","2018",33.5
"244000543","2018",29.45
"244000659","2018",27.08
"244000675","2018",35.46
"244000691","2018",37.79
"244000766","2018",38.81
"244000774","2018",46.5
"244000808","2018",53.57
"244000824","2018",46.48
"244000857","2018",27.32
"244000865","2018",42.74
"244000873","2018",34.27
"244000881","2018",33.75
"244100293","2018",37.69
"244100780","2018",29.61
"244100798","2018",36.4
"244100806","2018",26.9
"244200614","2018",44.09
"244200622","2018",28.73
"244200630","2018",36.26
"244200770","2018",36.37
"244200820","2018",40.44
"244200895","2018",32.11
"244300307","2018",53.59
"244301016","2018",39.63
"244301032","2018",46.51
"244301099","2018",35.56
"244301107","2018",35.79
"244301123","2018",33.09
"244301131","2018",36.4
"244400404","2018",48.35
"244400438","2018",34.76
"244400453","2018",34.02
"244400503","2018",31.5
"244400537","2018",45.64
"244400552","2018",38.67
"244400586","2018",46.32
"244400610","2018",31.44
"244400644","2018",38.22
"244500203","2018",30.69
"244500211","2018",50.81
"244500419","2018",34.38
"244500427","2018",20.4
"244500468","2018",28.79
"244500484","2018",31.65
"244500542","2018",60.08
"244600433","2018",43.13
"244600482","2018",43.67
"244600532","2018",52.85
"244600573","2018",63.19
"244700449","2018",54.28
"244700464","2018",44.92
"244701355","2018",35.03
"244701405","2018",38.31
"244800405","2018",42.61
"244800470","2018",32.08
"244900015","2018",43.7
"244900809","2018",50.64
"244900882","2018",49.4
"245100615","2018",32.17
"245100888","2018",70.26
"245100979","2018",42.92
"245200597","2018",36.87
"245300223","2018",35.46
"245300306","2018",26.51
"245300330","2018",44.85
"245300355","2018",27.69
"245300389","2018",37.3
"245300447","2018",53.55
"245400171","2018",46.57
"245400189","2018",30.56
"245400262","2018",34.02
"245400510","2018",50.43
"245400601","2018",48.17
"245400676","2018",40.24
"245400759","2018",41.71
"245500327","2018",56.33
"245501176","2018",76.07
"245501184","2018",46.56
"245501242","2018",69.94
"245501259","2018",63.74
"245600440","2018",22.7
"245600465","2018",36.68
"245614383","2018",33.41
"245614417","2018",29.8
"245614433","2018",35.69
"245700133","2018",54.78
"245700372","2018",47.89
"245700398","2018",56.52
"245700695","2018",59.25
"245700950","2018",29.58
"245701164","2018",58.05
"245701206","2018",31.87
"245701222","2018",38.24
"245701271","2018",29.14
"245701354","2018",46.53
"245701362","2018",27.76
"245701404","2018",26.96
"245801063","2018",20.99
"245804406","2018",30.21
"245804497","2018",17.04
"245900410","2018",33.24
"245900428","2018",45.22
"245900758","2018",29.14
"245901038","2018",42.09
"245901061","2018",29.58
"245901152","2018",33.27
"245901160","2018",34.12
"246000129","2018",36.68
"246000376","2018",37.33
"246000566","2018",34.14
"246000582","2018",36.68
"246000707","2018",38.08
"246000749","2018",45.81
"246000756","2018",38.15
"246000764","2018",29.14
"246000772","2018",29.97
"246000848","2018",39.95
"246000855","2018",30
"246000871","2018",32.16
"246000897","2018",27.68
"246000913","2018",30.72
"246000921","2018",39.51
"246100390","2018",58.3
"246100663","2018",56.83
"246200299","2018",38.7
"246200364","2018",35.51
"246200380","2018",33.07
"246200729","2018",34.5
"246200844","2018",37.24
"246201016","2018",39.62
"246201149","2018",40.35
"246300701","2018",27.43
"246300966","2018",33.15
"246301097","2018",30.67
"246400337","2018",21.46
"246401756","2018",41.74
"246500482","2018",56.49
"246500573","2018",16.9
"246600282","2018",31.01
"246600373","2018",36.14
"246600399","2018",33.07
"246600415","2018",45.29
"246600423","2018",38.44
"246600449","2018",43.77
"246600464","2018",26.14
"246600548","2018",36.04
"246700306","2018",35.97
"246700488","2018",34.12
"246700744","2018",23.9
"246700777","2018",57.76
"246700843","2018",40.93
"246700926","2018",34.13
"246700959","2018",38.28
"246700967","2018",40.81
"246701064","2018",24.06
"246701080","2018",24.36
"246701098","2018",32.4
"246800205","2018",49.44
"246800395","2018",51.49
"246800445","2018",27.18
"246800494","2018",29.01
"246800551","2018",39.18
"246800569","2018",34.09
"246800577","2018",37.21
"246800585","2018",38.92
"246800676","2018",36.68
"246800726","2018",32.38
"246900575","2018",29.03
"246900625","2018",39.4
"246900724","2018",37.45
"246900740","2018",40.82
"246900757","2018",27.03
"246900765","2018",26.01
"247000011","2018",45.5
"247000367","2018",40.7
"247000623","2018",39.15
"247000664","2018",49.68
"247000698","2018",62.31
"247000706","2018",67.81
"247000714","2018",52.97
"247000722","2018",51.59
"247000755","2018",45.33
"247000821","2018",55.59
"247000854","2018",36.68
"247100290","2018",49.71
"247100589","2018",42.07
"247100639","2018",28.24
"247100647","2018",34.93
"247103765","2018",38.96
"247103864","2018",39.97
"247104094","2018",36.05
"247200090","2018",42.61
"247200132","2018",53.18
"247200348","2018",38.66
"247200421","2018",38.62
"247200447","2018",31.43
"247200629","2018",24.45
"247200686","2018",36.18
"247300015","2018",33.42
"247300080","2018",
"247300254","2018",15.14
"247300262","2018",41.33
"247300296","2018",
"247300361","2018",13.35
"247300452","2018",21.31
"247300528","2018",38.73
"247300668","2018",47.95
"247300676","2018",36.68
"247300817","2018",23.48
"247400047","2018",39.29
"247400112","2018",36.68
"247400567","2018",30.79
"247400583","2018",31.34
"247400617","2018",24.34
"247400666","2018",28.55
