"codgeo","year0","value0","year1","value1"
"3114","1999-2009",0.05,"2009-2014",-0.50
"3115","1999-2009",0.00,"2009-2014",-0.35
"3116","1999-2009",0.11,"2009-2014",0.07
"3117","1999-2009",-0.18,"2009-2014",-0.55
"3121","1999-2009",0.38,"2009-2014",-0.01
"3122","1999-2009",-0.19,"2009-2014",-0.52
"3123","1999-2009",0.16,"2009-2014",-0.17
"3124","1999-2009",0.27,"2009-2014",-0.05
"3125","1999-2009",0.26,"2009-2014",0.22
"3126","1999-2009",-0.03,"2009-2014",-0.45
"3127","1999-2009",0.59,"2009-2014",-0.07
"4101","1999-2009",0.47,"2009-2014",0.26
"4102","1999-2009",0.25,"2009-2014",-0.24
"4103","1999-2009",0.18,"2009-2014",-0.34
"4104","1999-2009",-0.37,"2009-2014",-0.42
"4105","1999-2009",0.28,"2009-2014",-0.49
"4106","1999-2009",0.08,"2009-2014",-0.16
"4107","1999-2009",0.34,"2009-2014",-0.29
"4108","1999-2009",-0.28,"2009-2014",-0.60
"4109","1999-2009",0.32,"2009-2014",-0.19
"4110","1999-2009",0.17,"2009-2014",-0.26
"4111","1999-2009",0.51,"2009-2014",0.18
"4112","1999-2009",0.07,"2009-2014",-0.14
"4113","1999-2009",-0.17,"2009-2014",-0.53
"4114","1999-2009",0.18,"2009-2014",-0.50
"4115","1999-2009",-0.37,"2009-2014",-0.42
"4201","1999-2009",0.81,"2009-2014",-0.06
"4202","1999-2009",0.85,"2009-2014",0.17
"4203","1999-2009",0.55,"2009-2014",-0.32
"4204","1999-2009",1.15,"2009-2014",0.06
"4205","1999-2009",0.48,"2009-2014",-0.14
"4206","1999-2009",0.49,"2009-2014",-0.21
"4207","1999-2009",0.57,"2009-2014",-0.04
"4208","1999-2009",0.45,"2009-2014",-0.19
"4209","1999-2009",0.99,"2009-2014",0.44
"4301","1999-2009",0.80,"2009-2014",-0.01
"4302","1999-2009",0.23,"2009-2014",-0.36
"4303","1999-2009",1.02,"2009-2014",0.58
"4304","1999-2009",1.10,"2009-2014",0.36
"4305","1999-2009",0.52,"2009-2014",-0.23
"4306","1999-2009",0.35,"2009-2014",0.18
"4307","1999-2009",0.18,"2009-2014",-0.72
"4308","1999-2009",0.10,"2009-2014",-0.52
"4309","1999-2009",0.03,"2009-2014",-0.34
"5201","1999-2009",1.58,"2009-2014",0.11
"5202","1999-2009",0.65,"2009-2014",-0.05
"5203","1999-2009",1.14,"2009-2014",0.75
"5204","1999-2009",1.22,"2009-2014",0.89
"5205","1999-2009",0.63,"2009-2014",0.25
"5206","1999-2009",0.65,"2009-2014",0.06
"5207","1999-2009",0.34,"2009-2014",-0.16
"5208","1999-2009",0.53,"2009-2014",0.06
"5209","1999-2009",0.79,"2009-2014",-0.19
"5210","1999-2009",0.35,"2009-2014",-0.23
"5211","1999-2009",0.83,"2009-2014",-0.12
"5212","1999-2009",0.28,"2009-2014",0.05
"5213","1999-2009",0.54,"2009-2014",0.03
"5214","1999-2009",1.03,"2009-2014",-0.18
"5215","1999-2009",1.91,"2009-2014",1.33
"5216","1999-2009",0.65,"2009-2014",0.32
"5217","1999-2009",1.09,"2009-2014",0.38
"5218","1999-2009",1.64,"2009-2014",0.82
"5219","1999-2009",1.41,"2009-2014",1.69
"5301","1999-2009",1.11,"2009-2014",0.72
"5302","1999-2009",0.45,"2009-2014",0.42
"5303","1999-2009",0.83,"2009-2014",0.40
"5304","1999-2009",0.44,"2009-2014",0.06
"5305","1999-2009",0.89,"2009-2014",0.39
"5306","1999-2009",0.42,"2009-2014",0.05
"5307","1999-2009",-0.10,"2009-2014",0.31
"5308","1999-2009",0.41,"2009-2014",0.11
"5309","1999-2009",0.51,"2009-2014",0.58
"5310","1999-2009",0.44,"2009-2014",0.46
"5311","1999-2009",0.81,"2009-2014",0.11
"5312","1999-2009",1.40,"2009-2014",0.64
"5313","1999-2009",0.44,"2009-2014",0.45
"5314","1999-2009",1.34,"2009-2014",0.22
"5315","1999-2009",0.61,"2009-2014",0.47
"5316","1999-2009",1.04,"2009-2014",0.81
"5317","1999-2009",0.52,"2009-2014",0.41
"5318","1999-2009",1.63,"2009-2014",0.88
"5401","1999-2009",0.02,"2009-2014",0.05
"5402","1999-2009",0.30,"2009-2014",-0.14
"5403","1999-2009",0.41,"2009-2014",0.26
"5404","1999-2009",0.64,"2009-2014",0.81
"5405","1999-2009",0.14,"2009-2014",0.19
"5406","1999-2009",0.95,"2009-2014",0.43
"5407","1999-2009",1.40,"2009-2014",1.55
"5408","1999-2009",1.13,"2009-2014",0.54
"5409","1999-2009",1.00,"2009-2014",0.87
"5410","1999-2009",0.82,"2009-2014",0.41
"5411","1999-2009",0.41,"2009-2014",0.15
"5412","1999-2009",0.46,"2009-2014",0.25
"5413","1999-2009",0.80,"2009-2014",0.23
"7201","1999-2009",0.59,"2009-2014",0.62
"7202","1999-2009",0.56,"2009-2014",0.49
"7203","1999-2009",0.72,"2009-2014",0.51
"7204","1999-2009",1.04,"2009-2014",0.91
"7205","1999-2009",0.97,"2009-2014",0.43
"7206","1999-2009",1.14,"2009-2014",1.04
"7207","1999-2009",1.92,"2009-2014",1.66
"7208","1999-2009",1.69,"2009-2014",1.17
"7209","1999-2009",0.98,"2009-2014",0.31
"7210","1999-2009",0.70,"2009-2014",0.44
"7211","1999-2009",0.47,"2009-2014",0.15
"7212","1999-2009",1.08,"2009-2014",1.15
"7213","1999-2009",0.07,"2009-2014",0.33
"7214","1999-2009",0.79,"2009-2014",0.11
"7301","1999-2009",1.02,"2009-2014",0.41
"7302","1999-2009",0.66,"2009-2014",0.27
"7303","1999-2009",0.56,"2009-2014",0.26
"7304","1999-2009",0.50,"2009-2014",0.40
"7305","1999-2009",0.42,"2009-2014",0.34
"7306","1999-2009",0.67,"2009-2014",0.62
"7307","1999-2009",0.54,"2009-2014",0.42
"7308","1999-2009",0.80,"2009-2014",0.40
"7309","1999-2009",0.77,"2009-2014",0.71
"7310","1999-2009",0.33,"2009-2014",0.12
"7311","1999-2009",0.94,"2009-2014",0.75
"7312","1999-2009",0.23,"2009-2014",0.14
"7313","1999-2009",1.33,"2009-2014",0.77
"7401","1999-2009",0.29,"2009-2014",0.38
"7402","1999-2009",-0.15,"2009-2014",0.06
"7403","1999-2009",-0.07,"2009-2014",0.30
"7404","1999-2009",0.58,"2009-2014",0.11
"8201","1999-2009",1.73,"2009-2014",0.61
"8202","1999-2009",0.97,"2009-2014",0.86
"8203","1999-2009",0.32,"2009-2014",-0.82
"8204","1999-2009",0.72,"2009-2014",0.15
"8205","1999-2009",1.20,"2009-2014",1.15
"8206","1999-2009",1.18,"2009-2014",0.47
"8207","1999-2009",1.01,"2009-2014",0.25
"8208","1999-2009",0.71,"2009-2014",0.16
"8209","1999-2009",1.67,"2009-2014",0.48
"8210","1999-2009",0.65,"2009-2014",0.04
"8211","1999-2009",1.29,"2009-2014",0.26
"8212","1999-2009",0.16,"2009-2014",0.01
"8213","1999-2009",1.39,"2009-2014",0.60
"8214","1999-2009",0.76,"2009-2014",0.25
"8215","1999-2009",0.90,"2009-2014",-0.16
"8216","1999-2009",1.09,"2009-2014",0.79
"8217","1999-2009",0.48,"2009-2014",-0.68
"8218","1999-2009",1.16,"2009-2014",0.99
"8219","1999-2009",2.05,"2009-2014",1.65
"8220","1999-2009",0.81,"2009-2014",-0.01
"8221","1999-2009",0.47,"2009-2014",-0.93
"8222","1999-2009",1.56,"2009-2014",0.80
"8301","1999-2009",-0.15,"2009-2014",0.04
"8302","1999-2009",-0.14,"2009-2014",0.13
"8303","1999-2009",0.11,"2009-2014",0.64
"8304","1999-2009",0.08,"2009-2014",0.14
"8305","1999-2009",-0.72,"2009-2014",0.38
"8306","1999-2009",-0.22,"2009-2014",0.27
"8307","1999-2009",0.29,"2009-2014",0.23
"8308","1999-2009",0.32,"2009-2014",0.29
"8309","1999-2009",-0.35,"2009-2014",0.12
"8310","1999-2009",0.47,"2009-2014",0.33
"8311","1999-2009",0.66,"2009-2014",0.76
"8312","1999-2009",-0.17,"2009-2014",0.12
"9101","1999-2009",1.06,"2009-2014",0.35
"9102","1999-2009",0.68,"2009-2014",0.59
"9103","1999-2009",1.79,"2009-2014",1.11
"9104","1999-2009",0.96,"2009-2014",0.64
"9105","1999-2009",0.81,"2009-2014",0.39
"9106","1999-2009",1.23,"2009-2014",0.87
"9107","1999-2009",1.95,"2009-2014",1.29
"9108","1999-2009",1.20,"2009-2014",1.34
"9109","1999-2009",2.40,"2009-2014",1.48
"9110","1999-2009",1.26,"2009-2014",1.26
"9111","1999-2009",1.40,"2009-2014",0.97
"9112","1999-2009",1.51,"2009-2014",1.06
"9113","1999-2009",0.49,"2009-2014",0.08
"9114","1999-2009",0.73,"2009-2014",1.10
"9115","1999-2009",1.45,"2009-2014",0.94
"9116","1999-2009",0.90,"2009-2014",0.67
"9301","1999-2009",1.07,"2009-2014",0.03
"9302","1999-2009",1.60,"2009-2014",0.62
"9303","1999-2009",0.74,"2009-2014",0.31
"9304","1999-2009",1.23,"2009-2014",0.50
"9305","1999-2009",1.10,"2009-2014",0.08
"9306","1999-2009",0.72,"2009-2014",0.28
"9307","1999-2009",0.43,"2009-2014",-0.07
"9308","1999-2009",1.02,"2009-2014",0.34
"9309","1999-2009",0.43,"2009-2014",0.62
"9310","1999-2009",0.65,"2009-2014",-0.23
"9311","1999-2009",0.70,"2009-2014",0.08
"9312","1999-2009",1.35,"2009-2014",0.25
"9313","1999-2009",1.77,"2009-2014",1.53
"9314","1999-2009",1.23,"2009-2014",0.51
"9315","1999-2009",0.79,"2009-2014",0.25
"9316","1999-2009",0.66,"2009-2014",0.26
"9317","1999-2009",0.55,"2009-2014",0.03
"9401","1999-2009",1.99,"2009-2014",1.44
"9402","1999-2009",1.46,"2009-2014",1.22
"9403","1999-2009",0.43,"2009-2014",1.68
"9404","1999-2009",1.67,"2009-2014",0.93
"9405","1999-2009",1.42,"2009-2014",0.65
"9406","1999-2009",0.82,"2009-2014",1.08
"9407","1999-2009",0.90,"2009-2014",1.43
