"codgeo","year0","value0","year1","value1"
"0050",2009,35.0,2014,34.1
"0051",2009,30.5,2014,29.6
"0052",2009,38.1,2014,35.7
"0053",2009,37.6,2014,37.3
"0054",2009,47.4,2014,47.5
"0055",2009,53.0,2014,50.4
"0056",2009,31.0,2014,29.8
"0057",2009,37.9,2014,36.2
"0059",2009,34.2,2014,33.7
"0060",2009,36.8,2014,36.1
"0061",2009,37.8,2014,38.0
"0101",2009,24.2,2014,24.6
"0102",2009,14.2,2014,13.6
"0103",2009,25.5,2014,24.0
"0106",2009,24.5,2014,23.2
"0201",2009,23.4,2014,23.8
"0202",2009,22.0,2014,22.5
"0203",2009,20.9,2014,20.4
"0204",2009,23.2,2014,22.2
"0205",2009,24.3,2014,26.9
"0206",2009,31.0,2014,34.9
"0301",2009,20.8,2014,20.8
"0302",2009,33.7,2014,29.6
"0303",2009,33.7,2014,20.0
"0401",2009,19.2,2014,18.4
"0402",2009,20.1,2014,20.4
"0403",2009,26.0,2014,26.6
"0404",2009,20.1,2014,20.1
"0601",2009,,2014,14.7
"1101",2009,36.2,2014,36.7
"1102",2009,34.5,2014,33.6
"1103",2009,29.4,2014,28.8
"1104",2009,26.4,2014,25.3
"1105",2009,30.9,2014,31.2
"1106",2009,30.9,2014,30.3
"1107",2009,35.2,2014,31.3
"1108",2009,28.6,2014,26.5
"1109",2009,30.9,2014,29.5
"1110",2009,30.6,2014,28.7
"1111",2009,41.5,2014,38.9
"1112",2009,35.3,2014,32.7
"1113",2009,37.4,2014,37.1
"1114",2009,30.3,2014,27.1
"1115",2009,36.1,2014,35.8
"1116",2009,42.3,2014,42.1
"1117",2009,27.8,2014,26.5
"1118",2009,35.1,2014,34.8
"1119",2009,36.4,2014,35.3
"2101",2009,36.4,2014,35.2
"2102",2009,39.8,2014,37.7
"2103",2009,31.7,2014,30.5
"2104",2009,52.9,2014,51.4
"2105",2009,34.9,2014,34.1
"2106",2009,36.9,2014,35.2
"2107",2009,39.9,2014,37.6
"2201",2009,38.0,2014,38.7
"2202",2009,28.8,2014,28.0
"2203",2009,41.4,2014,39.7
"2204",2009,28.1,2014,27.3
"2205",2009,36.3,2014,34.3
"2206",2009,35.5,2014,32.1
"2207",2009,39.1,2014,37.1
"2208",2009,40.9,2014,39.4
"2209",2009,30.8,2014,29.5
"2210",2009,33.2,2014,33.2
"2211",2009,51.0,2014,47.7
"2301",2009,40.5,2014,38.8
"2302",2009,36.0,2014,34.5
"2303",2009,38.0,2014,36.9
"2304",2009,41.4,2014,40.1
"2305",2009,38.6,2014,39.1
"2306",2009,39.8,2014,38.9
"2307",2009,34.2,2014,33.4
"2401",2009,33.6,2014,32.9
"2402",2009,33.7,2014,33.5
"2403",2009,33.4,2014,30.4
"2404",2009,38.0,2014,37.5
"2405",2009,34.2,2014,36.6
"2406",2009,36.5,2014,35.4
"2407",2009,23.9,2014,30.3
"2408",2009,48.8,2014,49.3
"2409",2009,34.8,2014,35.0
"2410",2009,40.6,2014,43.0
"2411",2009,34.2,2014,35.7
"2412",2009,32.7,2014,32.1
"2413",2009,35.5,2014,36.6
"2414",2009,35.2,2014,35.4
"2415",2009,44.0,2014,42.4
"2416",2009,49.5,2014,47.2
"2417",2009,37.4,2014,35.2
"2418",2009,37.6,2014,36.0
"2419",2009,49.9,2014,47.8
"2501",2009,34.6,2014,32.5
"2502",2009,32.5,2014,31.4
"2503",2009,24.0,2014,24.5
"2504",2009,38.6,2014,35.8
"2505",2009,44.0,2014,45.6
"2506",2009,39.7,2014,39.6
"2507",2009,36.8,2014,37.5
"2508",2009,36.6,2014,34.9
"2509",2009,31.8,2014,29.8
"2510",2009,32.8,2014,32.8
"2511",2009,36.5,2014,36.9
"2512",2009,44.0,2014,42.9
"2513",2009,39.2,2014,40.8
"2601",2009,44.3,2014,45.7
"2602",2009,38.2,2014,36.9
"2603",2009,31.5,2014,30.6
"2604",2009,36.9,2014,37.3
"2605",2009,31.1,2014,28.5
"2606",2009,29.2,2014,29.2
"2607",2009,33.7,2014,33.2
"2608",2009,40.0,2014,38.3
"2609",2009,44.8,2014,41.4
"2610",2009,38.6,2014,37.0
"2611",2009,41.7,2014,39.4
"2612",2009,36.4,2014,36.1
"2613",2009,34.9,2014,35.1
"2614",2009,38.3,2014,36.2
"3110",2009,40.5,2014,38.2
"3111",2009,32.2,2014,31.4
"3112",2009,38.5,2014,37.1
"3113",2009,36.3,2014,33.5
"3114",2009,32.3,2014,32.0
"3115",2009,37.4,2014,36.3
"3116",2009,35.3,2014,33.7
"3117",2009,33.3,2014,31.5
"3121",2009,32.7,2014,32.9
"3122",2009,30.2,2014,29.5
"3123",2009,36.8,2014,34.7
"3124",2009,43.1,2014,40.3
"3125",2009,31.4,2014,30.3
"3126",2009,33.2,2014,33.3
"3127",2009,25.5,2014,26.0
"4101",2009,28.6,2014,24.5
"4102",2009,22.9,2014,21.1
"4103",2009,29.1,2014,29.0
"4104",2009,34.9,2014,32.3
"4105",2009,37.4,2014,40.6
"4106",2009,30.5,2014,28.8
"4107",2009,29.5,2014,29.6
"4108",2009,36.3,2014,35.8
"4109",2009,30.3,2014,31.0
"4110",2009,39.4,2014,38.7
"4111",2009,33.4,2014,31.3
"4112",2009,34.6,2014,32.1
"4113",2009,39.4,2014,36.1
"4114",2009,39.3,2014,36.7
"4115",2009,40.3,2014,37.8
"4201",2009,42.4,2014,41.4
"4202",2009,49.5,2014,49.1
"4203",2009,44.7,2014,44.3
"4204",2009,42.0,2014,40.9
"4205",2009,33.7,2014,33.2
"4206",2009,43.6,2014,40.3
"4207",2009,37.5,2014,35.3
"4208",2009,38.7,2014,37.1
"4209",2009,38.6,2014,36.0
"4301",2009,32.0,2014,31.5
"4302",2009,42.9,2014,40.8
"4303",2009,45.3,2014,43.5
"4304",2009,33.0,2014,31.4
"4305",2009,36.6,2014,36.2
"4306",2009,36.5,2014,35.7
"4307",2009,48.5,2014,44.3
"4308",2009,39.9,2014,43.0
"4309",2009,35.4,2014,33.2
"5201",2009,52.9,2014,52.2
"5202",2009,43.4,2014,42.9
"5203",2009,38.1,2014,38.1
"5204",2009,36.2,2014,36.7
"5205",2009,34.9,2014,34.2
"5206",2009,48.6,2014,47.5
"5207",2009,39.0,2014,38.0
"5208",2009,50.3,2014,50.2
"5209",2009,43.4,2014,42.6
"5210",2009,47.0,2014,47.0
"5211",2009,57.2,2014,56.4
"5212",2009,41.0,2014,39.1
"5213",2009,34.3,2014,33.9
"5214",2009,56.2,2014,54.9
"5215",2009,36.1,2014,33.7
"5216",2009,41.6,2014,39.6
"5217",2009,56.6,2014,55.3
"5218",2009,38.2,2014,37.7
"5219",2009,26.3,2014,23.0
"5301",2009,29.7,2014,28.2
"5302",2009,36.0,2014,32.6
"5303",2009,27.8,2014,26.6
"5304",2009,52.3,2014,53.5
"5305",2009,35.3,2014,35.2
"5306",2009,31.1,2014,30.3
"5307",2009,41.5,2014,40.8
"5308",2009,33.2,2014,32.8
"5309",2009,33.7,2014,32.9
"5310",2009,46.1,2014,43.3
"5311",2009,38.8,2014,36.7
"5312",2009,37.2,2014,36.5
"5313",2009,29.6,2014,29.8
"5314",2009,56.0,2014,55.0
"5315",2009,34.6,2014,33.8
"5316",2009,46.3,2014,43.9
"5317",2009,43.1,2014,42.6
"5318",2009,31.9,2014,31.0
"5401",2009,45.4,2014,44.7
"5402",2009,44.4,2014,43.4
"5403",2009,36.1,2014,35.3
"5404",2009,38.1,2014,36.5
"5405",2009,47.2,2014,48.9
"5406",2009,29.4,2014,29.7
"5407",2009,22.8,2014,22.4
"5408",2009,26.9,2014,26.9
"5409",2009,30.2,2014,30.8
"5410",2009,32.1,2014,32.1
"5411",2009,35.4,2014,37.3
"5412",2009,50.4,2014,49.4
"5413",2009,30.1,2014,29.1
"7201",2009,33.8,2014,33.6
"7202",2009,29.5,2014,28.7
"7203",2009,28.8,2014,27.7
"7204",2009,33.9,2014,32.8
"7205",2009,37.6,2014,37.7
"7206",2009,39.6,2014,39.5
"7207",2009,27.9,2014,25.6
"7208",2009,32.2,2014,32.1
"7209",2009,33.4,2014,33.3
"7210",2009,39.1,2014,39.6
"7211",2009,36.9,2014,35.8
"7212",2009,30.4,2014,30.7
"7213",2009,37.4,2014,38.4
"7214",2009,34.5,2014,34.4
"7301",2009,26.7,2014,27.6
"7302",2009,25.4,2014,24.8
"7303",2009,33.6,2014,33.0
"7304",2009,37.4,2014,36.5
"7305",2009,39.4,2014,37.8
"7306",2009,23.3,2014,22.7
"7307",2009,32.4,2014,33.5
"7308",2009,27.1,2014,27.3
"7309",2009,36.2,2014,40.5
"7310",2009,26.0,2014,25.6
"7311",2009,29.5,2014,27.9
"7312",2009,37.1,2014,35.9
"7313",2009,31.6,2014,30.8
"7401",2009,26.1,2014,27.0
"7402",2009,31.6,2014,30.9
"7403",2009,30.2,2014,30.0
"7404",2009,30.4,2014,28.9
"8201",2009,45.7,2014,45.9
"8202",2009,35.3,2014,32.6
"8203",2009,56.4,2014,53.3
"8204",2009,38.7,2014,35.8
"8205",2009,24.0,2014,23.2
"8206",2009,40.3,2014,40.9
"8207",2009,37.6,2014,37.7
"8208",2009,36.6,2014,35.8
"8209",2009,44.2,2014,43.0
"8210",2009,36.9,2014,35.8
"8211",2009,41.2,2014,39.7
"8212",2009,37.1,2014,35.5
"8213",2009,42.7,2014,40.5
"8214",2009,39.7,2014,39.6
"8215",2009,21.9,2014,21.4
"8216",2009,31.8,2014,31.5
"8217",2009,27.2,2014,24.0
"8218",2009,36.3,2014,35.4
"8219",2009,31.3,2014,28.5
"8220",2009,53.3,2014,50.4
"8221",2009,18.7,2014,18.4
"8222",2009,23.2,2014,23.7
"8301",2009,33.5,2014,31.8
"8302",2009,31.4,2014,29.6
"8303",2009,35.4,2014,33.6
"8304",2009,30.7,2014,29.4
"8305",2009,36.5,2014,36.8
"8306",2009,35.7,2014,35.7
"8307",2009,42.7,2014,40.4
"8308",2009,28.8,2014,27.6
"8309",2009,42.3,2014,42.2
"8310",2009,33.1,2014,33.3
"8311",2009,38.1,2014,39.2
"8312",2009,43.4,2014,46.1
"9101",2009,23.6,2014,22.9
"9102",2009,30.8,2014,29.7
"9103",2009,28.0,2014,27.8
"9104",2009,26.1,2014,24.0
"9105",2009,42.6,2014,41.3
"9106",2009,27.3,2014,26.0
"9107",2009,24.1,2014,22.8
"9108",2009,25.7,2014,26.3
"9109",2009,27.7,2014,25.7
"9110",2009,23.8,2014,24.8
"9111",2009,28.5,2014,29.1
"9112",2009,27.2,2014,25.7
"9113",2009,26.1,2014,26.6
"9114",2009,19.6,2014,19.9
"9115",2009,26.3,2014,25.8
"9116",2009,14.8,2014,17.1
"9301",2009,21.4,2014,22.7
"9302",2009,29.9,2014,30.2
"9303",2009,12.2,2014,12.9
"9304",2009,20.1,2014,19.8
"9305",2009,30.3,2014,30.9
"9306",2009,14.7,2014,16.1
"9307",2009,24.8,2014,24.8
"9308",2009,35.9,2014,36.4
"9309",2009,29.6,2014,30.6
"9310",2009,28.8,2014,29.1
"9311",2009,38.4,2014,37.9
"9312",2009,27.1,2014,28.9
"9313",2009,19.7,2014,19.6
"9314",2009,24.4,2014,23.0
"9315",2009,20.7,2014,21.1
"9316",2009,35.6,2014,35.4
"9317",2009,31.8,2014,32.2
"9401",2009,19.0,2014,19.7
"9402",2009,17.6,2014,17.3
"9403",2009,19.1,2014,19.0
"9404",2009,21.8,2014,22.6
"9405",2009,16.5,2014,16.8
"9406",2009,14.3,2014,14.4
"9407",2009,26.2,2014,25.5
