"codgeo","year0","value0","year1","value1"
"0050","2012",83.7,"2017",82.6
"0051","2012",83.4,"2017",82.3
"0052","2012",81.7,"2017",78.8
"0053","2012",81.9,"2017",80.2
"0054","2012",83.7,"2017",82.2
"0055","2012",83.3,"2017",80.8
"0056","2012",77,"2017",76.2
"0057","2012",85.3,"2017",82
"0059","2012",82.4,"2017",80.2
"0060","2012",82.4,"2017",78.5
"0061","2012",83.9,"2017",81.7
"0101","2012",53.2,"2017",41.3
"0102","2012",55.1,"2017",39.6
"0103","2012",37.7,"2017",24.5
"0106","2012",51.1,"2017",39.6
"0201","2012",52.9,"2017",42.5
"0202","2012",52.6,"2017",40
"0203","2012",47.7,"2017",33.1
"0204","2012",53.5,"2017",39.8
"0205","2012",54.5,"2017",42
"0206","2012",55.5,"2017",37.4
"0301","2012",52.9,"2017",38.7
"0302","2012",54.9,"2017",37.9
"0303","2012",40.7,"2017",20.1
"0401","2012",61.8,"2017",53.7
"0402","2012",64.6,"2017",59.7
"0403","2012",65.7,"2017",57.2
"0404","2012",67.5,"2017",60.9
"0601","2012",48.7,"2017",43.6
"1101","2012",78.4,"2017",80.9
"1102","2012",77.5,"2017",80.3
"1103","2012",78.3,"2017",78.4
"1104","2012",78.5,"2017",79.3
"1105","2012",78.3,"2017",79
"1106","2012",77.9,"2017",77.7
"1107","2012",79,"2017",78.5
"1108","2012",79.2,"2017",78.4
"1109","2012",84.1,"2017",85.7
"1110","2012",78.4,"2017",78.2
"1111","2012",76.9,"2017",78.6
"1112","2012",82.1,"2017",85.3
"1113","2012",81,"2017",82.8
"1114","2012",80.9,"2017",80.8
"1115","2012",77.8,"2017",78.1
"1116","2012",79.7,"2017",82
"1117","2012",77.9,"2017",80
"1118","2012",77,"2017",77.3
"1119","2012",77.8,"2017",78.9
"2101","2012",78.6,"2017",76.3
"2102","2012",81.5,"2017",80.9
"2103","2012",79.4,"2017",79.3
"2104","2012",79.8,"2017",79
"2105","2012",78.9,"2017",78.7
"2106","2012",81.3,"2017",79.6
"2107","2012",79.4,"2017",78
"2201","2012",81.1,"2017",79.8
"2202","2012",78.4,"2017",75.9
"2203","2012",79.6,"2017",77.7
"2204","2012",82,"2017",80.8
"2205","2012",81.4,"2017",78.6
"2206","2012",79.9,"2017",78.3
"2207","2012",81.5,"2017",80.3
"2208","2012",80.5,"2017",79.9
"2209","2012",81.1,"2017",79.4
"2210","2012",81.5,"2017",80.5
"2211","2012",82.1,"2017",79.3
"2301","2012",82.5,"2017",80.9
"2302","2012",81.2,"2017",80.8
"2303","2012",82.1,"2017",81.7
"2304","2012",80.5,"2017",79.7
"2305","2012",82.4,"2017",81.5
"2306","2012",78.7,"2017",78.6
"2307","2012",81.9,"2017",80.5
"2401","2012",80.2,"2017",77.6
"2402","2012",80.9,"2017",78.1
"2403","2012",79,"2017",76.3
"2404","2012",81.2,"2017",80.7
"2405","2012",82.6,"2017",80.9
"2406","2012",79.3,"2017",77.4
"2407","2012",83.5,"2017",80.7
"2408","2012",79.7,"2017",76.1
"2409","2012",82,"2017",79.7
"2410","2012",82.9,"2017",81.1
"2411","2012",83.6,"2017",81.5
"2412","2012",82.6,"2017",81.3
"2413","2012",82.6,"2017",80.9
"2414","2012",82,"2017",79.7
"2415","2012",83.6,"2017",82.1
"2416","2012",81.6,"2017",79.7
"2417","2012",80.8,"2017",79.4
"2418","2012",82.6,"2017",81.3
"2419","2012",81,"2017",78.9
"2501","2012",82.7,"2017",81
"2502","2012",83.8,"2017",82.7
"2503","2012",80.9,"2017",79.8
