"codgeo","year0","value0","year1","value1"
"200000172",1999,10.6,2014,13.1
"200000438",1999,16.2,2014,16.3
"200000545",1999,19.4,2014,22.3
"200000628",1999,14.1,2014,18.7
"200000800",1999,21.6,2014,23.8
"200000925",1999,10.5,2014,13.3
"200000933",1999,23.6,2014,26.5
"200004802",1999,22.9,2014,23.3
"200005932",1999,14.6,2014,19.3
"200005957",1999,18.4,2014,19.1
"200006682",1999,17.0,2014,20.2
"200006716",1999,16.2,2014,17.8
"200006930",1999,27.2,2014,26.4
"200006971",1999,20.5,2014,26.7
"200007052",1999,33.5,2014,35.4
"200007177",1999,24.3,2014,25.4
"200010650",1999,16.9,2014,20.6
"200010700",1999,13.3,2014,16.6
"200011773",1999,12.4,2014,13.6
"200011781",1999,22.1,2014,22.4
"200012060",1999,20.4,2014,24.4
"200013050",1999,15.6,2014,18.4
"200015162",1999,21.3,2014,25.8
"200016905",1999,24.2,2014,27
"200017341",1999,22.8,2014,23
"200017846",1999,12.1,2014,14.6
"200018083",1999,15.2,2014,16.4
"200018166",1999,12.3,2014,16.2
"200018406",1999,19.3,2014,24.1
"200018521",1999,24.9,2014,24
"200018653",1999,9.0,2014,13.8
"200022986",1999,11.1,2014,17.9
"200023075",1999,14.7,2014,17
"200023125",1999,8.0,2014,13.6
"200023240",1999,14.5,2014,18.4
"200023299",1999,14.6,2014,17.6
"200023307",1999,22.1,2014,25.1
"200023372",1999,12.6,2014,16.6
"200023414",1999,14.2,2014,17.4
"200023620",1999,14.6,2014,13.2
"200023737",1999,18.5,2014,23.2
"200023778",1999,24.5,2014,30.5
"200023794",1999,18.5,2014,19.9
"200023919",1999,17.4,2014,19.3
"200026573",1999,15.8,2014,20.1
"200027027",1999,18.1,2014,23.2
"200027076",1999,24.6,2014,25.4
"200027100",1999,20.2,2014,27.1
"200027183",1999,20.3,2014,22.4
"200027217",1999,20.2,2014,24.7
"200027308",1999,22.6,2014,21.9
"200027548",1999,2.3,2014,3.7
"200029734",1999,22.7,2014,24.4
"200029999",1999,18.2,2014,17.6
"200030195",1999,21.4,2014,22.9
"200030385",1999,15.8,2014,19.4
