"codzau","libzau","year0","value0","year1","value1"
"111","Grands pôles","2009",15.0,"2014",17.4
"112","Couronnes des grands pôles","2009",12.7,"2014",15.1
"120","Communes multipolarisées des grandes aires urbaines","2009",16.0,"2014",18.3
"211","Pôles moyens","2009",20.1,"2014",23.2
"212","Couronnes des pôles moyens","2009",12.7,"2014",15.7
"221","Petits pôles","2009",18.1,"2014",21.2
"222","Couronnes des petits pôles","2009",14.0,"2014",15.6
"300","Autres communes multipolarisées","2009",15.1,"2014",17.8
"400","Communes isolées hors influence des pôles","2009",16.8,"2014",19.5
