"codgeo","year0","value0","year1","value1"
"01",2013,36.6,2017,39.7
"02",2013,48.7,2017,50.8
"03",2013,46.9,2017,49.4
"04",2013,39.6,2017,44.9
"05",2013,34.7,2017,43.2
"06",2013,34.7,2017,40.8
"07",2013,43.5,2017,45.4
"08",2013,45.4,2017,49.3
"09",2013,41.4,2017,41.4
"10",2013,40.5,2017,45.9
"11",2013,41.4,2017,45.4
"12",2013,35.9,2017,41.9
"13",2013,41.4,2017,43.3
"14",2013,40,2017,44.1
"15",2013,40.3,2017,42.2
"16",2013,45.6,2017,46.1
"17",2013,40.7,2017,44.7
"18",2013,42.8,2017,48.8
"19",2013,42.6,2017,45.4
"21",2013,42.6,2017,45.5
"22",2013,41.2,2017,45.4
"23",2013,46.1,2017,46.7
"24",2013,39.6,2017,44.7
"25",2013,41.2,2017,42.3
"26",2013,43.1,2017,44.1
"27",2013,45.7,2017,47.8
"28",2013,41.8,2017,46.5
"29",2013,40.4,2017,45.8
"2A",2013,24.2,2017,28.8
"2B",2013,24.3,2017,32.6
"30",2013,40.4,2017,44.8
"31",2013,40.1,2017,42.7
"32",2013,38.3,2017,42.6
"33",2013,38.8,2017,43.5
"34",2013,40.5,2017,43.9
"35",2013,38.4,2017,43.5
"36",2013,41.4,2017,47.4
"37",2013,37.6,2017,44.8
"38",2013,36.7,2017,40.1
"39",2013,37.4,2017,41.3
"40",2013,35.6,2017,42.6
"41",2013,38.5,2017,47.4
"42",2013,43.3,2017,44.7
"43",2013,43.8,2017,45.9
"44",2013,38.7,2017,44.4
"45",2013,41.7,2017,47.2
"46",2013,42.2,2017,44.5
"47",2013,38.5,2017,45.8
"48",2013,35,2017,40.3
"49",2013,43.6,2017,47.6
"50",2013,38.5,2017,44.7
"51",2013,41.9,2017,44.8
"52",2013,42.4,2017,45.2
"53",2013,38,2017,44.2
"54",2013,41.4,2017,46
"55",2013,43.3,2017,46.6
"56",2013,39,2017,44.6
"57",2013,39.7,2017,44.2
"58",2013,43.6,2017,45.4
"59",2013,45.5,2017,46.2
"60",2013,42.8,2017,45.6
"61",2013,39.4,2017,44.3
"62",2013,46.9,2017,48
"63",2013,44,2017,46.3
"64",2013,38.1,2017,42.5
"65",2013,38.6,2017,41.6
"66",2013,38.9,2017,45.7
"67",2013,40.6,2017,45.3
"68",2013,39.4,2017,43.4
"69",2013,38.5,2017,41.2
"70",2013,42.5,2017,44.8
"71",2013,43.5,2017,46.2
"72",2013,42.2,2017,46.9
"73",2013,27.7,2017,33.8
"74",2013,32.3,2017,35.4
"75",2013,45.8,2017,47.7
"76",2013,44.2,2017,47.3
"77",2013,36.5,2017,40.1
"78",2013,37.2,2017,41.5
"79",2013,41.6,2017,45.9
"80",2013,45.3,2017,48.9
"81",2013,43,2017,43.7
"82",2013,41.6,2017,43.1
"83",2013,35.7,2017,41.4
"84",2013,39.8,2017,44.7
"85",2013,40.2,2017,45.9
"86",2013,40.8,2017,44.5
"87",2013,42.9,2017,47.6
"88",2013,45.3,2017,49.2
"89",2013,43.7,2017,45.1
"90",2013,42.7,2017,43.3
"91",2013,34.1,2017,38.1
"92",2013,40.3,2017,43.2
"93",2013,41.3,2017,42.3
"94",2013,38.9,2017,42.2
"95",2013,38.5,2017,40.5
"971",2013,55.5,2017,56.5
"972",2013,52.5,2017,50.2
"973",2013,33.1,2017,33.2
"974",2013,54.2,2017,54.6
"976",2013,,2017,
