"codreg","libreg","year0","value0","year1","value1"
"94","Corse",1999,18.6,2014,21.5
"93","Provence-Alpes-Côte d''Azur",1999,18.3,2014,21.3
"84","Auvergne-Rhône-Alpes",1999,15.7,2014,18.3
"76","Occitanie",1999,19.2,2014,20.8
"75","Nouvelle-Aquitaine",1999,19.7,2014,21.8
"53","Bretagne",1999,17.8,2014,20.2
"52","Pays de la Loire",1999,16.3,2014,18.6
"44","Grand Est",1999,14.8,2014,18
"32","Hauts-de-France",1999,13.9,2014,16.1
"28","Normandie",1999,15.6,2014,19
"27","Bourgogne-Franche-Comté",1999,17.5,2014,20.7
"24","Centre-Val de Loire",1999,17.6,2014,20.4
"11","Île-de-France",1999,12.0,2014,13.9
"06","Mayotte",1999,,2014,
"04","La Réunion",1999,6.5,2014,9.8
"03","Guyane",1999,3.8,2014,4.6
"02","Martinique",1999,11.7,2014,17.6
"01","Guadeloupe",1999,10.3,2014,15.8
