"codgeo","year1","value1"
"01",2015,7.99
"02",2015,7.04
"03",2015,10.20
"04",2015,14.85
"05",2015,17.16
"06",2015,7.71
"07",2015,11.48
"08",2015,8.04
"09",2015,14.42
"10",2015,8.11
"11",2015,11.08
"12",2015,12.38
"13",2015,10.22
"14",2015,8.60
"15",2015,11.25
"16",2015,9.89
"17",2015,8.24
"18",2015,8.38
"19",2015,9.94
"21",2015,8.94
"22",2015,9.96
"23",2015,11.61
"24",2015,9.73
"25",2015,8.70
"26",2015,10.52
"27",2015,6.60
"28",2015,6.57
"29",2015,8.78
"2A",2015,13.85
"2B",2015,10.43
"30",2015,10.26
"31",2015,9.33
"32",2015,11.28
"33",2015,8.72
"34",2015,9.62
"35",2015,9.20
"36",2015,9.51
"37",2015,9.52
"38",2015,9.25
"39",2015,9.78
"40",2015,10.11
"41",2015,8.84
"42",2015,9.05
"43",2015,11.48
"44",2015,9.06
"45",2015,9.03
"46",2015,12.38
"47",2015,10.05
"48",2015,17.02
"49",2015,8.62
"50",2015,6.80
"51",2015,7.80
"52",2015,9.41
"53",2015,8.46
"54",2015,8.88
"55",2015,8.61
"56",2015,9.31
"57",2015,8.13
"58",2015,10.07
"59",2015,7.97
"60",2015,6.90
"61",2015,9.04
"62",2015,7.06
"63",2015,10.01
"64",2015,10.12
"65",2015,11.36
"66",2015,10.61
"67",2015,11.05
"68",2015,9.60
"69",2015,8.99
"70",2015,7.13
"71",2015,8.73
"72",2015,7.30
"73",2015,9.84
"74",2015,8.17
"75",2015,13.89
"76",2015,7.55
"77",2015,6.89
"78",2015,6.68
"79",2015,9.90
"80",2015,8.31
"81",2015,11.05
"82",2015,9.50
"83",2015,9.05
"84",2015,11.36
"85",2015,8.23
"86",2015,11.08
"87",2015,9.97
"88",2015,8.57
"89",2015,8.19
"90",2015,9.01
"91",2015,6.70
"92",2015,6.13
"93",2015,5.63
"94",2015,6.48
"95",2015,6.68
"971",2015,8.00
"972",2015,8.34
"973",2015,6.94
"974",2015,7.06
"976",2015,
