"codgeo","year0","value0","year1","value1"
"200000172",2009,17.0,2014,15.8
"200000438",2009,13.3,2014,14.7
"200000545",2009,23.9,2014,28.6
"200000628",2009,20.9,2014,28.0
"200000800",2009,16.7,2014,18.7
"200000925",2009,12.3,2014,13.6
"200000933",2009,15.1,2014,21.3
"200004802",2009,17.0,2014,19.5
"200005932",2009,13.9,2014,13.3
"200005957",2009,15.8,2014,20.7
"200006682",2009,14.3,2014,15.7
"200006716",2009,20.5,2014,23.8
"200006930",2009,11.5,2014,14.5
"200006971",2009,15.8,2014,18.2
"200007052",2009,15.0,2014,16.1
"200007177",2009,21.1,2014,22.0
"200010650",2009,16.3,2014,16.0
"200010700",2009,17.7,2014,19.8
"200011773",2009,17.3,2014,18.6
"200011781",2009,18.6,2014,17.1
"200012060",2009,18.8,2014,18.7
"200013050",2009,10.6,2014,13.1
"200015162",2009,20.1,2014,25.0
"200016905",2009,14.3,2014,13.8
"200017341",2009,18.5,2014,23.7
"200017846",2009,14.5,2014,17.9
"200018083",2009,16.6,2014,19.1
"200018166",2009,9.4,2014,10.9
"200018406",2009,21.4,2014,23.7
"200018521",2009,16.8,2014,20.4
"200018653",2009,24.4,2014,25.7
"200022986",2009,10.6,2014,12.2
"200023075",2009,13.9,2014,15.1
"200023125",2009,12.3,2014,13.0
"200023240",2009,16.9,2014,17.4
"200023299",2009,12.0,2014,10.2
"200023307",2009,20.9,2014,23.6
"200023372",2009,7.0,2014,8.4
"200023414",2009,14.8,2014,17.9
"200023620",2009,11.2,2014,13.0
"200023737",2009,16.2,2014,19.2
"200023778",2009,15.5,2014,18.7
"200023794",2009,22.1,2014,23.7
"200023919",2009,16.9,2014,21.5
"200026573",2009,19.1,2014,20.1
"200027027",2009,12.4,2014,15.2
"200027076",2009,18.3,2014,25.2
"200027100",2009,16.5,2014,20.0
"200027183",2009,23.0,2014,27.6
"200027217",2009,18.6,2014,24.8
"200027308",2009,12.1,2014,17.6
"200027548",2009,29.9,2014,26.4
