"codreg","libreg","year0","value0","year1","value1"
"94","Corse","2016",34.6,"2018",38.3
"93","Provence-Alpes-Côte d'Azur","2016",33.5,"2018",32.0
"84","Auvergne-Rhône-Alpes","2016",37.3,"2018",38.8
"76","Occitanie","2016",38.7,"2018",39.5
"75","Nouvelle-Aquitaine","2016",37.7,"2018",40.1
"53","Bretagne","2016",36.4,"2018",37.1
"52","Pays de la Loire","2016",38.8,"2018",40.4
"44","Grand Est","2016",39.0,"2018",38.3
"32","Hauts-de-France","2016",38.8,"2018",37.8
"28","Normandie","2016",41.1,"2018",39.4
"27","Bourgogne-Franche-Comté","2016",36.1,"2018",39.5
"24","Centre-Val de Loire","2016",32.6,"2018",32.4
"11","Île-de-France","2016",27.3,"2018",27.1
"06","Mayotte","2016",35.4,"2018",27.0
"04","La Réunion","2016",38.4,"2018",39.5
"03","Guyane","2016",28.1,"2018",28.4
"02","Martinique","2016",42.9,"2018",45.0
"01","Guadeloupe","2016",24.7,"2018",34.0
