"codreg","libreg","year0","value0","year1","value1"
"94","Corse",,,2015,12.03
"93","Provence-Alpes-Côte d'Azur",,,2015,9.90
"84","Auvergne-Rhône-Alpes",,,2015,9.37
"76","Occitanie",,,2015,10.47
"75","Nouvelle-Aquitaine",,,2015,9.58
"53","Bretagne",,,2015,9.25
"52","Pays de la Loire",,,2015,8.49
"44","Grand Est",,,2015,9.06
"32","Hauts-de-France",,,2015,7.55
"28","Normandie",,,2015,7.61
"27","Bourgogne-Franche-Comté",,,2015,8.77
"24","Centre-Val de Loire",,,2015,8.67
"11","Île-de-France",,,2015,7.81
"06","Mayotte",,,2015,
"04","La Réunion",,,2015,7.06
"03","Guyane",,,2015,6.94
"02","Martinique",,,2015,8.34
"01","Guadeloupe",,,2015,8.00
