"codzau","libzau","year0","value0","year1","value1"
"111","Grands pôles","2009",15.7,"2014",17.1
"112","Couronnes des grands pôles","2009",14.7,"2014",16.5
"120","Communes multipolarisées des grandes aires urbaines","2009",17.2,"2014",18.6
"211","Pôles moyens","2009",20.8,"2014",22.9
"212","Couronnes des pôles moyens","2009",17.1,"2014",19
"221","Petits pôles","2009",22.7,"2014",24.7
"222","Couronnes des petits pôles","2009",19.2,"2014",21.3
"300","Autres communes multipolarisées","2009",19.8,"2014",21.2
"400","Communes isolées hors influence des pôles","2009",24.3,"2014",26.1
