"codreg","libreg","year0","value0","year1","value1"
"01","Guadeloupe","2012",52.5,"2017",40
"02","Martinique","2012",52.4,"2017",39.9
"03","Guyane","2012",51,"2017",34.7
"04","Réunion","2012",65.6,"2017",58.7
"06","Mayotte","2012",48.7,"2017",43.6
"11","Île-de-France","2012",78.2,"2017",79.9
"24","Centre-Val de Loire","2012",81.9,"2017",80.3
"27","Bourgogne-Franche-Comté","2012",82.1,"2017",79.4
"28","Normandie","2012",82,"2017",80.9
"32","Hauts-de-France","2012",79.4,"2017",78.2
"44","Grand Est","2012",79.8,"2017",78.7
"52","Pays de la Loire","2012",84.2,"2017",83.3
"53","Bretagne","2012",84.7,"2017",83.5
"75","Nouvelle Aquitaine","2012",83.1,"2017",80.5
"76","Occitanie","2012",83.5,"2017",81
"84","Auvergne-Rhône-Alpes","2012",82.6,"2017",79.3
"93","Provence-Alpes-Côte d'Azur","2012",80.6,"2017",78.8
"94","Corse","2012",74.3,"2017",68
