"codreg","libreg","year0","value0","year1","value1"
"94","Corse",2013,24.2,2017,30.8
"93","Provence-Alpes-Côte d''Azur",2013,38.5,2017,42.6
"84","Auvergne-Rhône-Alpes",2013,39.1,2017,41.7
"76","Occitanie",2013,40.3,2017,43.7
"75","Nouvelle-Aquitaine",2013,40.0,2017,44.4
"53","Bretagne",2013,39.6,2017,44.7
"52","Pays de la Loire",2013,40.6,2017,45.8
"44","Grand Est",2013,41.3,2017,45.4
"32","Hauts-de-France",2013,45.8,2017,47.3
"28","Normandie",2013,42.6,2017,46.2
"27","Bourgogne-Franche-Comté",2013,42.3,2017,44.4
"24","Centre-Val de Loire",2013,40.5,2017,46.8
"11","Île-de-France",2013,40.1,2017,42.6
"06","Mayotte",2013,,2017,
"04","La Réunion",2013,54.2,2017,54.6
"03","Guyane",2013,33.1,2017,33.2
"02","Martinique",2013,52.5,2017,50.2
"01","Guadeloupe",2013,55.5,2017,56.5
