"codreg","libreg","year0","value0","year1","value1"
"94","Corse",2009,19.9,2014,20.4
"93","Provence-Alpes-Côte d''Azur",2009,28.0,2014,28.3
"84","Auvergne-Rhône-Alpes",2009,36.9,2014,36.2
"76","Occitanie",2009,31.6,2014,31.5
"75","Nouvelle-Aquitaine",2009,33.3,2014,32.7
"53","Bretagne",2009,35.3,2014,34.6
"52","Pays de la Loire",2009,39.3,2014,38.7
"44","Grand Est",2009,35.8,2014,34.7
"32","Hauts-de-France",2009,35.1,2014,33.9
"28","Normandie",2009,36.2,2014,35.4
"27","Bourgogne-Franche-Comté",2009,36.5,2014,35.3
"24","Centre-Val de Loire",2009,36.5,2014,35.9
"11","Île-de-France",2009,35.6,2014,35.7
"06","Mayotte",2009,,2014,14.7
"04","La Réunion",2009,21.5,2014,21.6
"03","Guyane",2009,25.4,2014,22.0
"02","Martinique",2009,23.3,2014,23.7
"01","Guadeloupe",2009,22.6,2014,22.6
