"codgeo","year0","value0","year1","value1"
"200000172",2015,21.7,2017,30.3
"200000438",2015,33.1,2017,39.5
"200000545",2015,17.7,2017,28.6
"200000628",2015,29.4,2017,29.3
"200000800",2015,19.8,2017,41.4
"200000925",2015,18.7,2017,18.7
"200000933",2015,24.5,2017,50.2
"200004802",2015,18.4,2017,22.3
"200005932",2015,31.0,2017,39.1
"200005957",2015,31.8,2017,44.2
"200006682",2015,16.2,2017,33.6
"200006716",2015,39.3,2017,47.2
"200006930",2015,31.8,2017,48.0
"200006971",2015,28.2,2017,33.5
"200007052",2015,17.0,2017,29.8
"200007177",2015,22.9,2017,56.9
"200010650",2015,19.5,2017,56.8
"200010700",2015,23.5,2017,26.3
"200011773",2015,17.1,2017,23.0
"200011781",2015,15.6,2017,22.5
"200012060",2015,14.2,2017,17.9
"200013050",2015,21.5,2017,23.5
"200015162",2015,9.0,2017,16.5
"200016905",2015,10.7,2017,18.1
"200017341",2015,16.4,2017,26.8
"200017846",2015,29.4,2017,29.4
"200018083",2015,15.7,2017,21.7
"200018166",2015,17.3,2017,17.4
"200018406",2015,17.3,2017,32.0
"200018521",2015,31.1,2017,36.9
"200018653",2015,68.7,2017,68.7
"200022986",2015,20.9,2017,31.9
"200023075",2015,34.5,2017,54.5
"200023125",2015,34.7,2017,38.3
"200023240",2015,31.4,2017,38.2
"200023299",2015,30.8,2017,34.5
"200023307",2015,18.2,2017,23.5
"200023372",2015,19.4,2017,19.3
"200023414",2015,37.8,2017,43.5
"200023620",2015,30.7,2017,36.7
"200023737",2015,14.4,2017,28.4
"200023778",2015,25.1,2017,32.9
"200023794",2015,17.4,2017,24.7
"200023919",2015,43.9,2017,45.9
"200026573",2015,27.4,2017,27.2
"200027027",2015,37.3,2017,38.5
"200027076",2015,31.0,2017,36.6
"200027100",2015,22.5,2017,23.1
"200027183",2015,54.9,2017,59.1
"200027217",2015,10.1,2017,13.2
"200027308",2015,30.4,2017,50.6
"200027548",2015,11.1,2017,11.1
"200029734",2015,22.7,2017,26.6
"200029999",2015,28.3,2017,29.3
"200030195",2015,68.5,2017,72.2
"200030385",2015,18.7,2017,39.4
"200030435",2015,18.8,2017,31.2
"200030526",2015,61.4,2017,61.5
"200030633",2015,20.5,2017,20.9
"200030658",2015,18.4,2017,24.0
"200030674",2015,18.4,2017,26.0
"200032514",2015,7.9,2017,27.7
"200033025",2015,15.3,2017,32.9
"200033090",2015,7.2,2017,51.6
"200033116",2015,19.7,2017,27.4
"200033173",2015,16.6,2017,22.1
"200033181",2015,15.9,2017,27.1
"200033207",2015,18.7,2017,26.4
"200033298",2015,29.6,2017,42.3
"200033579",2015,27.8,2017,54.4
"200033827",2015,18.4,2017,24.4
"200033868",2015,20.9,2017,24.8
"200034023",2015,12.3,2017,13.8
"200034031",2015,20.2,2017,29.2
"200034049",2015,22.0,2017,38.6
"200034056",2015,21.8,2017,31.8
"200034064",2015,14.1,2017,23.3
"200034098",2015,26.0,2017,32.0
"200034130",2015,23.4,2017,26.5
"200034197",2015,18.2,2017,31.7
"200034205",2015,14.5,2017,14.6
"200034270",2015,27.2,2017,27.3
"200034379",2015,27.7,2017,39.3
"200034411",2015,28.4,2017,39.7
"200034601",2015,8.6,2017,23.5
"200034635",2015,48.7,2017,48.4
"200034692",2015,23.3,2017,30.0
"200034700",2015,34.6,2017,43.1
"200034718",2015,26.2,2017,30.9
"200034726",2015,30.2,2017,48.3
"200034825",2015,27.5,2017,40.5
"200034833",2015,15.7,2017,24.0
"200034874",2015,0.0,2017,15.7
"200034882",2015,22.9,2017,22.3
"200034957",2015,21.5,2017,24.1
"200035087",2015,36.1,2017,37.1
"200035103",2015,20.0,2017,32.2
"200035111",2015,12.6,2017,26.1
"200035129",2015,22.2,2017,25.9
"200035137",2015,4.7,2017,33.5
"200035202",2015,19.4,2017,23.7
"200035319",2015,22.9,2017,34.0
"200035327",2015,17.5,2017,25.6
"200035442",2015,50.6,2017,75.8
"200035459",2015,25.6,2017,36.5
"200035533",2015,12.4,2017,19.8
"200035541",2015,16.0,2017,27.9
"200035632",2015,27.1,2017,41.8
"200035665",2015,20.7,2017,28.9
"200035707",2015,30.5,2017,45.6
"200035715",2015,25.2,2017,38.1
"200035723",2015,30.4,2017,50.2
"200035731",2015,53.1,2017,77.3
