"codreg","libreg","year0","value0","year1","value1"
"94","Corse",2012,18292,2014,18927
"93","Provence-Alpes-Côte d''Azur",2012,19406,2014,19893
"84","Auvergne-Rhône-Alpes",2012,20340,2014,20944
"76","Occitanie",2012,18888,2014,19457
"75","Nouvelle-Aquitaine",2012,19360,2014,19992
"53","Bretagne",2012,19797,2014,20470
"52","Pays de la Loire",2012,19486,2014,20150
"44","Grand Est",2012,19761,2014,20418
"32","Hauts-de-France",2012,18106,2014,18812
"28","Normandie",2012,19216,2014,19900
"27","Bourgogne-Franche-Comté",2012,19411,2014,20089
"24","Centre-Val de Loire",2012,19776,2014,20338
"11","Île-de-France",2012,22180,2014,22522
"06","Mayotte",2012,,2014,
"04","La Réunion",2012,,2014,
"03","Guyane",2012,,2014,
"02","Martinique",2012,,2014,
"01","Guadeloupe",2012,,2014,
